conflict_id	severity	topic	evidence_a	evidence_b	required_resolution	no_invention_rule	resolution	status
C01	material	Executable artifact location	Earlier records named superseded output locations.	The public package requires one stable executable and report location.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	The executable package and reports use their declared public paths and are covered by package manifests.	resolved
C02	material	Statement-hash correspondence	The original catalog exposed statements without per-result hashes.	The public registry requires a per-result statement digest and stale-correspondence check.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	The registry hashes the canonical English catalog statement; the Wolfram report is synchronized to those hashes during the full build.	resolved
C03	material	Application identity	Three source-facing applications were promoted after the 68-result namespace was fixed.	Applications require stable identities without expanding or renumbering the result namespace.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	APP-PATER, APP-WALKER, and APP-CABRERA were assigned as application identifiers without changing the 68 registered result IDs.	resolved
C04	material	Independent proof-status axes	The baseline had forty-four nonmechanized catalog results.	The final release requires machine-checkable proofs while retaining written proofs as a separate explanatory axis.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	result_status.tsv preserves independent machine and explanatory written-proof axes while requiring machine-proof closure for every released result.	resolved
C05	material	One proof file per stable result	The mathematics was distributed across larger source dossiers.	The public package requires bilingual result-addressable proof files.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	One bilingual proof file per stable result ID is generated and compiled.	resolved
C06	material	MAX-G3 proof structure	Earlier wording joined the compiler to an unproved standard complexity classification.	The executable catalog preserves one stable MAX-G3 identifier for exact compiler semantics and foundation-relative object-size bounds.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	MAX-G3 remains one ID for the exact executable compiler and its foundation-relative semantic and object-size requirements; no universal-real classification is registered.	resolved
C07	material	MAX-G4 restricted complexity result	Earlier wording stated an unconditional class result and imported a separate universal-real cell.	The duplicate-free binary selector bridge and local charges belong to MAX-G4; conventional coNP-completeness is a conditional boundary theorem.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	MAX-G4 records the exact duplicate-free binary selector bridge and local charge bounds; conventional coNP-completeness is conditional on ExecutableCNFConventionalBoundary.	resolved
C08	material	CHG-B7 mixed ancestry	Common positive scale invariance is inherited.	Family-specific phase laws under the same stable ID are project results.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	CHG-B7 retains one stable ID while its proof separates inherited scale gauge from new family-specific phase laws.	resolved
C09	material	Imported-result proof form	Several results have generic mathematical ancestry rather than an exact imported theorem locator.	A self-contained specialization proof is required unless an exact citation is verified.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Inherited results use complete self-contained specialization proofs unless an exact imported locator is verified.	resolved
C10	material	Catalog versus full result statement	Executable catalog statements are concise summaries.	Written proofs contain the full quantified statement or application record and delimitations.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	The concise catalog statement is the cross-engine registry statement; its full quantified statement or application record remains in the written proof.	resolved
C11	material	Expected-result field naming	The executable report uses the field `Expected`.	The public proof-goal registry requires the lossless field `expected_exact_result`.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Expected is serialized losslessly into expected_exact_result.	resolved
C12	material	Result and proof-goal denominators	The baseline contained forty-four nonmechanized results and forty-five nonmechanized proof goals.	The final denominator remains sixty-eight registered results and 218 registered proof goals, all of which must close.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	The immutable baseline records the former 44 result-level and 45 proof-goal-level gaps; final reports require closure of 68 registered results and discharge of 218 proof goals.	resolved
C13	material	English majority arithmetic	The raw difference between 29 and 13 speakers is 16.	The count 29 is eight above the strict-majority threshold.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	English summaries distinguish the raw surplus of 16 from eight above the strict-majority threshold.	resolved
C14	material	Mandarin ledger denominators	The construction-scope ledger contains 616 coarse rows.	The corrected 639-row table yields 622 matches, 13 counterexamples, and four refusals.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Mandarin files document the separate 616-row scope ledger and 639-row corrected table; final counts are 622, 13, and 4.	resolved
C15	material	Applications versus theorem ownership	Application and data rows are mandatory catalog results.	Their mandatory status does not convert them into original theorem ownership.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Applications and data demonstrations remain separate kinds and are not counted as new theorem ownership.	resolved
C16	material	Placement versus authority	Many complete secondary results are placed in appendices.	Appendix placement does not reduce a result's registered evidential status.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Placement is recorded independently from evidential and mandatory status.	resolved
C17	material	Regression withdrawal conditions	The finite specification defines fifteen mandatory regression results.	The ownership matrix does not provide a separate withdrawal row for each regression.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Regression withdrawal conditions are stated directly in the public registry and remain subordinate to the normative finite specification.	resolved
C18	material	Current public proof identity	Some development sources used provisional filenames.	Stable public result IDs and proof files control current correspondence.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Public TeX proofs carry the current result status; earlier filenames have no evidential role in the package.	resolved
C19	material	Verification exit modes	The Wolfram source catalogue separates exact calculations from semantic proof checks.	Machine-closed execution requires the semantic proof layer and exits nonzero on any missing proof.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	The Wolfram interface replays the exact source catalogue and provides a separate fail-closed semantic proof mode.	resolved
C20	material	Reproducibility levels	Source-facing applications replay formal source objects.	Corpus demonstrations replay reduced ledgers with separately stated external dependencies.	Apply the normative hierarchy and preserve stable result identity, exact scope, and independent evidence statuses.	Do not invent a result, proof status, application identity, or empirical conclusion to remove the discrepancy.	Application and data crosswalks state R0/R1 scope and external dependencies without end-to-end upcast.	resolved
C21	material	FLUX-D4 support-birth balance	The earlier readable derivation and one canonical response component multiplied by -log(t).	The registered Lambert normal-form identity and normalized coefficient limit require division by -log(t).	Replace the false product balance by the quotient balance in the canonical replay and both readable proofs, then regenerate every dependent hash, proof record, mutant, and report.	Do not alter Gamma, C, the Lambert-W solution, or the normalized remainder premise to preserve the false product wording.	The canonical support-birth balance and both readable proofs use the quotient form, consistent with the registered Lambert identity and coefficient limit.	resolved
