result_id	status	satisfiable	anti_vacuity	assumption_count	model	model_sha256	method	proof_ids
APP-BASIC	PASS	true	true	1	"{""validated_sources"":[{""path"":""formal/source_transcriptions/basic_syllable_system.json"",""sha256"":""344ee31c184c56b375af75daf31f89bff4bbed93011d66785c36f5feb09e8cbd"",""transcription_id"":""SOURCE-BASIC-SYLLABLE-SYSTEM""}]}"	4e0658f01a9fd43b5046dc0ff4a2990a964b68360929d057358d24dbf591ac36	proof-replayed source identity model	APP-BASIC.REUSE.01.PROOF
APP-MCC-COMP	PASS	true	true	1	"{""validated_sources"":[{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""},{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""},{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""}]}"	6c3d01819d13f996cfea1d80006c9c7eb1ec771a061f45e849909f89d87ce20f	proof-replayed source identity model	APP-MCC-COMP.COUNTS.01.PROOF;APP-MCC-COMP.PARAMETER.02.PROOF;APP-MCC-COMP.TYPE.03.PROOF
APP-MCC-GRID	PASS	true	true	1	"{""validated_sources"":[{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""},{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""},{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""}]}"	6c3d01819d13f996cfea1d80006c9c7eb1ec771a061f45e849909f89d87ce20f	proof-replayed source identity model	APP-MCC-GRID.CONTINUUM.01.PROOF;APP-MCC-GRID.LATTICE.02.PROOF;APP-MCC-GRID.VERDICT.03.PROOF
APP-MCC-LENGTH	PASS	true	true	1	"{""validated_sources"":[{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""},{""path"":""formal/source_transcriptions/mccollum2019_directional_hg.json"",""sha256"":""7492cdbc957d7a2cfe216bd3da77f7586ff4def3dc501f2abc0a182502999304"",""transcription_id"":""SOURCE-MCCOLLUM-2019-DIRECTIONAL-HG""}]}"	ee7581ea2a38c14013f509a162eefc9f59ee3cbf3f0ac2090a3fb07a83511899	proof-replayed source identity model	APP-MCC-LENGTH.ANCHORS.01.PROOF;APP-MCC-LENGTH.ONEFOLLOWER.02.PROOF
CALC-F1	PASS	true	true	4	"{""contract"":{""domain"":[""s1"",""s2""],""evaluator"":""StrictOT"",""layer"":""Grammar"",""matched_rows"":[[""s1"",""t1""],[""s2"",""t2""]],""presentation_action"":{""Identity"":""Identity""},""query_type"":""Winner"",""source_answers"":{""s1"":""A"",""s2"":""B""},""target_answers"":{""t1"":""A"",""t2"":""B""},""transport"":{""A"":""A"",""B"":""B""}},""row_order"":[[""s1/t1"",""s2/t2""]],""rows"":[[""s1"",""t1""],[""s2"",""t2""]],""source_answers"":{""s1"":""A"",""s2"":""B""},""subprocedures"":[""source"",""target"",""transport""],""target_answers"":{""t1"":""A"",""t2"":""B""},""transport"":{""A"":""A"",""B"":""B""}}"	d9c4ec74662e05f0421e077972f6e5df942b351fad79701f559c7c1704cea289	proof-validated exact model	CALC-F1.ADMISSION.01.FINITE-SEMANTIC.PROOF;CALC-F1.METAPROOF.LEAN.PROOF;CALC-F1.PROGRESS.02.FINITE-SEMANTIC.PROOF;CALC-F1.REFUSALS.05.FINITE-SEMANTIC.PROOF;CALC-F1.TERMINATION.04.FINITE-SEMANTIC.PROOF;CALC-F1.WITNESS.03.FINITE-SEMANTIC.PROOF
CALC-R01	PASS	true	true	1	"{""CALC-R01.EXACT-FINITE-MODEL"":true}"	d8802908c4ac1ad5a3437aad41198e230d4d3af507f45579a6a57635f70bbae9	direct Boolean model	CALC-R01.PARTIAL.03.PROOF;CALC-R01.PARTITION.01.PROOF;CALC-R01.SORTS.02.PROOF
CALC-R02	PASS	true	true	1	"{""CALC-R02.EXACT-FINITE-MODEL"":true}"	2f17eff9e64741927cd84dfb20c0a730da8fc1f4d451568505a4eae98b730cf2	direct Boolean model	CALC-R02.COIMAGE.01.PROOF;CALC-R02.PARTIAL.02.PROOF
CALC-R03	PASS	true	true	1	"{""CALC-R03.EXACT-FINITE-MODEL"":true}"	fb50b39c720f381af91da735f81ae99db5c84a19409de0fe292fb52ad90b3593	direct Boolean model	CALC-R03.REFUSAL.01.PROOF
CALC-R04	PASS	true	true	1	"{""CALC-R04.EXACT-FINITE-MODEL"":true}"	79472c09ba1b7762c45035a38adf7b01edaf70cb843c5371442f39c1d8989104	direct Boolean model	CALC-R04.FRONTIER.02.PROOF;CALC-R04.SURJECTIVITY.01.PROOF
CALC-R05	PASS	true	true	1	"{""CALC-R05.EXACT-FINITE-MODEL"":true}"	64b3b4140762389c1bf6f71179e467cd7735c4b4f5b55099f222616b5b80a8f4	direct Boolean model	CALC-R05.ORBIT.01.PROOF
