outer_fold,root,stratum,inner_fold
0,a'ile,BF|true,2
0,abide,BF|true,0
0,aghriqxana,BB|true,1
0,aha,BB|true,2
0,ahale,BF|true,1
0,alicha,BB|true,0
0,alma,BB|true,0
0,amma,BB|true,1
0,ana,BB|true,1
0,antanta,BB|true,0
0,aptonomiye,BF|false,2
0,ara,BB|true,2
0,archa,BB|true,0
0,ariye,BF|true,2
0,armiye,BF|true,1
0,ashxana,BB|true,1
0,aspirantura,BB|false,2
0,assimilyatsiye,BF|true,2
0,astane,BF|true,0
0,aza,BB|true,2
0,bade,BF|true,0
0,baha,BB|true,0
0,bahane,BF|true,2
0,bajxana,BB|true,0
0,bala,BB|true,2
0,bara,BB|true,1
0,bashla,BB|true,0
0,bashqarma,BB|true,2
0,basmixana,BB|true,1
0,bataréya,BB|true,2
0,bayanname,BF|true,0
0,baywechche,FF|true,0
0,belche,FF|true,2
0,birleshme,FF|true,0
0,bola,BB|false,2
0,bomba,BB|false,0
0,bronza,BB|false,1
0,budda,BB|false,1
0,bölme,FF|false,1
0,böre,FF|false,0
0,bügünche,FF|false,0
0,chama,BB|true,0
0,chana,BB|true,1
0,changchile,BF|true,1
0,charshenbe,FF|true,0
0,charwa,BB|true,2
0,chasa,BB|true,2
0,chaza,BB|true,2
0,chelle,FF|true,1
0,chola,BB|false,2
0,chüshenche,FF|false,2
0,dacha,BB|true,1
0,dada,BB|true,0
0,daire,BF|true,2
0,dala,BB|true,2
0,dalda,BB|true,0
0,dara,BB|true,0
0,debdebe,FF|true,0
0,derije,FF|true,2
0,derya,FB|true,2
0,desmaye,BF|true,0
0,diploma,BB|false,2
0,diplomatiye,BF|false,1
0,doppa,BB|false,2
0,dorixana,BB|false,2
0,doxturxana,BB|false,1
0,doza,BB|false,0
0,du'a,BB|false,1
0,duniya,BB|false,0
0,démokratiye,BF|false,0
0,düshenbe,FF|false,2
0,ediliye,FF|true,1
0,edliye,FF|true,1
0,ehdiname,BF|true,0
0,ela,FB|true,0
0,en'ene,FF|true,1
0,endishe,FF|true,1
0,endize,FF|true,1
0,erebche,FF|true,1
0,esletme,FF|true,1
0,eslihe,FF|true,2
0,esna,FB|true,0
0,esra,FB|true,2
0,ete,FF|true,0
0,exletxana,BB|true,0
0,eyibname,BF|true,1
0,eza,FB|true,2
0,famile,BF|true,0
0,figura,BB|false,1
0,forma,BB|false,0
0,formula,BB|false,1
0,fédératsiye,BF|true,0
0,geme,FF|true,2
0,gewde,FF|true,1
0,ghalcha,BB|true,2
0,ghaye,BF|true,1
0,ghelbe,FF|true,2
0,ghora,BB|false,1
0,ghulghula,BB|false,2
0,ghulja,BB|false,2
0,gimnaziye,BF|true,0
0,gundixana,BB|false,1
0,guwahname,BF|false,2
0,gézitxana,BB|true,0
0,güldürmama,BB|false,0
0,gülxana,BB|false,2
0,harwa,BB|true,1
0,hasa,BB|true,2
0,hawa,BB|true,1
0,hawale,BF|true,0
0,hediye,FF|true,1
0,hemze,FF|true,2
0,hepse,FF|true,0
0,hepte,FF|true,2
0,here,FF|true,2
0,heywe,FF|true,1
0,hikaye,BF|true,2
0,himaye,BF|true,1
0,hoyla,BB|false,0
0,hujra,BB|false,0
0,hékaye,BF|true,2
0,hüjeyre,FF|false,0
0,i'ane,BF|true,0
0,ijare,BF|true,0
0,ijazetname,BF|true,1
0,ipade,BF|true,2
0,irade,BF|true,2
0,ishxana,BB|true,1
0,iskenje,FF|true,0
0,jakarname,BF|true,2
0,jame,BF|true,1
0,jangza,BB|true,0
0,jaza,BB|true,1
0,joghrapiye,BF|false,0
0,joza,BB|false,0
0,jughlanma,BB|false,2
0,jughrapiye,BF|false,2
0,kafédra,BB|true,1
0,kaloriye,BF|false,2
0,kana,BB|true,0
0,kapaletname,BF|true,1
0,karta,BB|true,1
0,karxana,BB|true,2
0,kasa,BB|true,2
0,kashila,BB|true,1
0,kassa,BB|true,1
0,katégoriye,BF|false,0
0,kawa,BB|true,0
0,kelime,FF|true,1
0,kepe,FF|true,0
0,kepterxana,BB|true,1
0,kinaye,BF|true,2
0,kinoxana,BB|false,0
0,kitabche,BF|true,1
0,kitabxana,BB|true,2
0,kocha,BB|false,0
0,komanda,BB|false,2
0,kompaniye,BF|false,1
0,komédiye,BF|false,0
0,konsulxana,BB|false,0
0,kopiye,BF|false,1
0,koza,BB|false,2
0,kula,BB|false,1
0,kutupxana,BB|false,1
0,kömürxana,BB|false,1
0,körgezme,FF|false,0
0,körgezmixana,BB|false,1
0,kötüre,FF|false,2
0,kütüpxana,BB|false,2
0,lale,BF|true,2
0,lama,BB|true,0
0,lata,BB|true,0
0,lawa,BB|true,2
0,layihe,BF|true,0
0,laza,BB|true,2
0,lerze,FF|true,0
0,lexme,FF|true,2
0,madda,BB|true,2
0,maliye,BF|true,1
0,manta,BB|true,2
0,maqale,BF|true,0
0,mashina,BB|true,1
0,massa,BB|true,0
0,maysa,BB|true,0
0,medhiye,FF|true,0
0,medrise,FF|true,0
0,mehelle,FF|true,1
0,mejlisxana,BB|true,0
0,mejmu'e,BF|false,2
0,meqbere,FF|true,2
0,mese,FF|true,0
0,mesle,FF|true,0
0,mesxire,FF|true,2
0,metbe'e,FF|true,2
0,meyde,FF|true,1
0,meyxana,BB|true,0
0,miniatyura,BB|false,2
0,mora,BB|false,0
0,mu'amile,BF|false,2
0,mu'essese,FF|false,2
0,mudaxile,BF|false,0
0,mulahize,BF|false,1
0,munazire,BF|false,1
0,muqawa,BB|false,0
0,muqeddime,FF|false,2
0,murda,BB|false,0
0,musape,BF|false,2
0,musha'ire,BF|false,1
0,méhmanxana,BB|true,0
0,mélodiye,BF|false,2
0,möjize,FF|false,0
0,müre,FF|false,1
0,nahiye,BF|true,1
0,namayende,FF|true,1
0,nashta,BB|true,0
0,nawayxana,BB|true,1
0,naxsha,BB|true,1
0,nere,FF|true,0
0,nerse,FF|true,1
0,neshe,FF|true,1
0,netije,FF|true,1
0,newre,FF|true,1
0,neyze,FF|true,2
0,nezeriye,FF|true,2
0,nezme,FF|true,2
0,nizamname,BF|true,0
0,olja,BB|false,1
0,opéra,BB|false,1
0,opératsiye,BF|false,1
0,orda,BB|false,0
0,orma,BB|false,1
0,ottura,BB|false,2
0,otunxana,BB|false,1
0,oyunxana,BB|false,2
0,pada,BB|true,2
0,pahishe,BF|true,0
0,pahishixana,BB|true,0
0,palata,BB|true,2
0,palta,BB|true,0
0,pana,BB|true,1
0,parsche,BF|true,1
0,partiye,BF|true,2
0,pasha,BB|true,1
0,pasxa,BB|true,1
0,paxta,BB|true,2
0,pede,FF|true,1
0,pelle,FF|true,0
0,penje,FF|true,0
0,perde,FF|true,0
0,perishte,FF|true,0
0,perwane,BF|true,1
0,pete,FF|true,2
0,petiwa,FB|true,1
0,peyshenbe,FF|true,0
0,piramida,BB|true,2
0,pirogramma,BB|false,2
0,piroza,BB|false,1
