result_id	foundation_id	classification	source_citation	locally_replayed	proof_path	withdrawal_effect
APP-BASIC	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
APP-BASIC	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
APP-MCC-COMP	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
APP-MCC-COMP	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
APP-MCC-GRID	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
APP-MCC-GRID	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
APP-MCC-LENGTH	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
APP-MCC-LENGTH	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CALC-F1	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-F1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-F1	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
CALC-F1	FOUND-TERMINATION-001	derived foundation lemma	natural-number induction	true	formal/proofs/foundation/FOUND-TERMINATION-001.json	Termination proofs fail.
CALC-R01	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R01	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R02	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R02	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R03	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R03	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R04	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R04	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R05	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R05	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R06	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R06	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R07	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R07	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R08	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R08	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R09	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R09	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R10	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R10	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R11	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R11	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R12	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R12	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CALC-R12	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CALC-R13	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
