"check_id"	"result_id"	"proof_goal_id"	"check_type"	"lean_declarations"	"status"
"CALC-F1.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CALC-F1"	"CALC-F1.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.FiniteRequest.RawFiniteContract.qualifiedFiniteContractDecision;PhonologicalCalculus.FiniteRequest.calc_f1_least_witness_03"	"PASS"
"FIN-A1.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A1"	"FIN-A1.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.fin_a1_semanticOrbitRecovery_from_weakening;inducedOrbitMap_mk;inverseOnRange_unique"	"PASS"
"FIN-A2.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A2"	"FIN-A2.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.representativeRecovery_iff;fin_a2_representativeRecovery"	"PASS"
"FIN-A3.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A3"	"FIN-A3.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.weightedSeries_admitsProbability_iff_normalized;prefixStoppedProjection_refused;fin_a3_typedSerialDecisions"	"PASS"
"FIN-A4.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A4"	"FIN-A4.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.fin_a4_query_consumer_monotonicity"	"PASS"
"FIN-A5.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A5"	"FIN-A5.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.fin_a5_carrierAlgebra;productQuery_minimum_carrier_cardinality;blockwiseAddedConsumerPrice_eq;firstLossIndex_specification;collisionSet_comp_decomposition"	"PASS"
"FIN-A6.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A6"	"FIN-A6.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.fin_a6_constructedArbitraryFinitaryManySortedContextual;completeManySortedContextRelation_isGreatest;fin_a6_finiteManySortedContextualRefinement_metaproof;different_definedness_refutes_manySortedStrongness"	"PASS"
"FIN-A7.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"FIN-A7"	"FIN-A7.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.fin_a7_responseImport;section_lifts_every_code;finiteLeastSection_is_section"	"PASS"
"CHG-B1.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B1"	"CHG-B1.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.generalPower_monotone_simplex_strict_package"	"PASS"
"CHG-B2.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B2"	"CHG-B2.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.generalPower_unconditional_all_horizon_finite_persistence"	"PASS"
"CHG-B3.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B3"	"CHG-B3.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b3_complete_quadratic_active_set;quadratic_minimizer_is_metric_projection;solidSimplex_euclidean_convex;quadratic_ratio_minimizers_nonexpansive"	"PASS"
"CHG-B4.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B4"	"CHG-B4.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b4_endpoint_obstruction"	"PASS"
"CHG-B5.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B5"	"CHG-B5.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b5_full_path_exponent_boundary;sublinear_powerPath_minimizer_above_iff;sublinear_powerPath_minimizer_equal_iff;sublinear_powerPath_minimizer_below_iff;linear_powerPath_minimizer_above_iff;linear_powerPath_minimizer_equal_iff;linear_powerPath_minimizer_below_iff;superlinear_finite_equal_distribution_lowerBound;chg_b5_complete_exponent_boundary"	"PASS"
"CHG-B6.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B6"	"CHG-B6.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.uniformLattice_allBack_weak_iff;uniformLattice_allBack_unique_iff;uniformLattice_superlinear_boundary_ties;uniformLattice_linear_boundary_ties"	"PASS"
"CHG-B7.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B7"	"CHG-B7.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b7_complete_general_power_persistence;generalPowerReachCoefficient_eq_canonical"	"PASS"
"CHG-B8.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B8"	"CHG-B8.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b8_weak_critical_mesh_iff;chg_b8_below_critical_mesh_iff"	"PASS"
"CHG-B9.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B9"	"CHG-B9.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b9_complete_optimizer_phase_profile;exists_unique_phaseOffset_of_firstZeroCell;powerPathMass_one_iff_phaseEquation;powerProfileFromDecreases_eq_normalizedPhaseProfile;normalizedPhaseProfile_strict_secondDifference_pos"	"PASS"
"CHG-B10.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B10"	"CHG-B10.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b10_complete_global_comparative_statics;normalizedPhaseProfile_global_mono_ratio;generalPower_boundary_optimizer_profile_global_mono_ratio;generalPowerFirstZeroCell_least_stablePositive;generalPowerFirstZeroCell_all_later_stablePositive;powerPathMinimumValue_concave_all_phases;normalizedPhaseProfile_phase_paste_tendsto"	"PASS"
"CHG-B11.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B11"	"CHG-B11.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b11_complete_query_relative_identifiability;poweredGapFamilyAdmission_consecutive_triple_identifies"	"PASS"
"CHG-B12.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B12"	"CHG-B12.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.compact_lattice_minimizers_converge;absent_optimizer_ne_lattice_minimizer;locally_constant_query_eventually_preserved;UniformSimplexLattice.finite;UniformSimplexLattice.nonempty;exists_uniformSimplexLattice_minimizer;exactUniformSimplexLatticeMinimizer_spec;isClosed_solidSimplex;isCompact_solidSimplex;uniformSimplexFloorApprox_mem;uniformSimplexFloorApprox_coordinate_tendsto;uniformSimplexFloorApprox_tendsto;uniformSimplexLattice_minimizers_converge;exactUniformSimplexLatticeMinimizer_tendsto;chg_b12_uniformSimplexLattice_convergence_without_identity;chg_b12_exactUniformSimplexLattice_selectedMinimizers;chg_b12_lattice_convergence_without_identity"	"PASS"
"CHG-B13.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B13"	"CHG-B13.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b13_uniform_long_support_scaling;normalizedPhaseProfile_uniform_scaling;normalizedPhaseDecrease_uniform_scaling;shiftedPowerSum_uniform_integral_scaling;chg_b13_exact_moment_package;chg_b7_complete_general_power_persistence"	"PASS"
"CHG-B14.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B14"	"CHG-B14.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b14_complete_ratio_onset_and_optimizer;chg_b14_phaseParameter_asymptotic_package;supportBirthRatio_excess_div_mass_excess_tendsto;supportBirthEntering_actualCoordinateProof;chg_b14_actualOptimizer_supportBirth_package"	"PASS"
"CHG-B15.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B15"	"CHG-B15.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b15_full_vector_optimizer_boundary_law"	"PASS"
"CHG-B16.POSITIVITY.03.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B16"	"CHG-B16.POSITIVITY.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.hardExponentFollower_pos_iff;chg_b16_positivity_not_full_phase"	"PASS"
"CHG-B16.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"CHG-B16"	"CHG-B16.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.ContinuousHG.chg_b16_unconditional_actual_hard_exponent_law;chg_b16_actualFollower_complete_asymptotic;phaseTwo_actualFollower_div_scale_tendsto_one;phaseTwoNormalizedFollower_sharp_bounds;hardExponentActualOffset_spec"	"PASS"
"CTX-C1.GENERAL.04.LEAN-KERNEL-REFERENCE.CHECK"	"CTX-C1"	"CTX-C1.GENERAL.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Context.ctx_c1_general_04_analytic;ctx_c1_actual_carrier_witness"	"PASS"
"CTX-C2.GENERAL.03.LEAN-KERNEL-REFERENCE.CHECK"	"CTX-C2"	"CTX-C2.GENERAL.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Context.ctx_c2_general_03_analytic"	"PASS"
"FLUX-D1.NECESSITY.04.LEAN-KERNEL-REFERENCE.CHECK"	"FLUX-D1"	"FLUX-D1.NECESSITY.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Flux.flux_d1_completePathWinnerBridge;shiftEquivariant_of_completeFreeProbeWinnerEquivalence"	"PASS"
"FLUX-D2.RIGIDITY.03.LEAN-KERNEL-REFERENCE.CHECK"	"FLUX-D2"	"FLUX-D2.RIGIDITY.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Flux.flux_d2_rigidity_03;incommensurate_shift_rigidity;complete_star_rigidity"	"PASS"
"FLUX-D3.GENERAL.04.LEAN-KERNEL-REFERENCE.CHECK"	"FLUX-D3"	"FLUX-D3.GENERAL.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Flux.flux_d3_general_04;flux_d3_general_04_arbitrarily_close;finiteLedger_all_consumers_preserved;finiteLedgerGauge_completeWinnerPredicates_eq;finiteLedger_nullity_lowerBound"	"PASS"
"FLUX-D4.PERTURBATION.04.LEAN-KERNEL-REFERENCE.CHECK"	"FLUX-D4"	"FLUX-D4.PERTURBATION.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Flux.flux_d4_complete_with_canonical_lambert"	"PASS"
"FLUX-D5.IDENTITY.03.LEAN-KERNEL-REFERENCE.CHECK"	"FLUX-D5"	"FLUX-D5.IDENTITY.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Flux.terminalKKT_accumulatingResponse_identifies;accumulatingExactResponses_identify;flux_d5_identity_03"	"PASS"
"SUP-E1.GENERAL.03.LEAN-KERNEL-REFERENCE.CHECK"	"SUP-E1"	"SUP-E1.GENERAL.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Support.sup_e1_completeEndpointWinnerBridge;endpointWinner_supportClassification"	"PASS"
"SUP-E3.EXISTENCE.03.LEAN-KERNEL-REFERENCE.CHECK"	"SUP-E3"	"SUP-E3.EXISTENCE.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Support.existsUnique_matchedPowerDecayRatio;matchedPower_bellman_lower_bound;matchedPower_bellman_equality_iff;matchedPower_geometric_cost_hasSum;matchedPower_global_lower_bound;matchedPower_global_equality_forces_recurrence;matchedPower_unique_global_minimizer;sup_e3_general_real_exponent"	"PASS"
