proof_goal_id	result_id	formalization_status	lean_declaration	note_en
CALC-F1.ADMISSION.01	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.RawFiniteContract.form_isSome_eq_complete;PhonologicalCalculus.FiniteRequest.RawFiniteContract.form_eq_none_iff_incomplete;PhonologicalCalculus.FiniteRequest.TypedFiniteContract.eligible_iff_explicit_admission	Formation is computed from every optional typed field and exact coverage/type proofs; post-formation admission is exactly the explicit scientific checklist plus a nonempty complete matched-row carrier.
CALC-F1.PROGRESS.02	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.calc_f1_progress_02;verdicts_pairwise_distinct	The three verdict constructors are exhaustive and pairwise distinct.
CALC-F1.WITNESS.03	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.calc_f1_witness_03;calc_f1_least_witness_03;mem_mismatchSet_iff	A nonconservative result returns the complete mismatch set and its least genuine mismatch under the declared row order.
CALC-F1.TERMINATION.04	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.calc_f1_termination_04;evaluate_total	The registered finite structural measure is exact and the executable decision function is total.
CALC-F1.REFUSALS.05	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.calc_f1_refusals_05	All seven singly malformed formation fixtures return the registered non-evaluated verdict and malformed-contract status.
CALC-F1.METAPROOF	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.RawFiniteContract.qualifiedFiniteContractDecision;PhonologicalCalculus.FiniteRequest.calc_f1_least_witness_03	The integrated theorem proves executable formation, explicit admission precedence, complete licensed-row derivation, all verdict equivalences, disjoint exhaustive progress, and the reusable kernel proves least complete-mismatch selection.
CALC-R01.PARTITION.01	CALC-R01	lean_closed	PhonologicalCalculus.Regression.CALC_R01_PARTITION_01	Exact finite model.
CALC-R01.SORTS.02	CALC-R01	lean_closed	PhonologicalCalculus.Regression.CALC_R01_SORTS_02	Exact finite model.
CALC-R01.PARTIAL.03	CALC-R01	lean_closed	PhonologicalCalculus.Regression.CALC_R01_PARTIAL_03	Exact finite model.
CALC-R02.COIMAGE.01	CALC-R02	lean_closed	PhonologicalCalculus.Regression.CALC_R02_COIMAGE_01	Exact finite model.
CALC-R02.PARTIAL.02	CALC-R02	lean_closed	PhonologicalCalculus.Regression.CALC_R02_PARTIAL_02	Exact finite model.
CALC-R03.REFUSAL.01	CALC-R03	lean_closed	PhonologicalCalculus.Regression.CALC_R03_REFUSAL_01	Exact typed decision record.
