result_id	group	formalization_status	lean_declaration	note_en
CALC-F1	CALC	lean_closed	PhonologicalCalculus.FiniteRequest.RawFiniteContract.qualifiedFiniteContractDecision;PhonologicalCalculus.FiniteRequest.RawFiniteContract.form_isSome_eq_complete;PhonologicalCalculus.FiniteRequest.TypedFiniteContract.mem_matchedRows_iff;PhonologicalCalculus.FiniteRequest.calc_f1_refusals_05;PhonologicalCalculus.FiniteRequest.calc_f1_least_witness_03	The integrated raw-to-typed contract theorem checks every required formation field, derives duplicate-free complete licensed rows, evaluates explicit admission conditions before comparison, and proves all three exact verdict branches; the historical seven malformed fixtures and least-witness result remain separately checked.
CALC-R01	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R01_PARTITION_01;CALC_R01_SORTS_02;CALC_R01_PARTIAL_03	All three registered mathematical proof goals are represented by kernel-checked propositions.
CALC-R02	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R02_COIMAGE_01;CALC_R02_PARTIAL_02	Both registered mathematical proof goals are kernel-checked.
CALC-R03	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R03_REFUSAL_01	The typed refusal record and non-conservativity-vacuity exclusion are kernel-checked.
CALC-R04	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R04_SURJECTIVITY_01;CALC_R04_FRONTIER_02	Both finite set-difference proof goals are kernel-checked.
CALC-R05	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R05_ORBIT_01	Orbit invariance and failure of representative fixation are kernel-checked.
CALC-R06	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R06_ORBITS_01	Semantic injectivity and the explicit representative collision are kernel-checked.
CALC-R07	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R07_OUTBOUND_01	The complete outbound-edge result is kernel-checked.
CALC-R08	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R08_STATUS_01	The two empty-image statuses are distinct typed values and neither is a positive recovery result.
CALC-R09	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R09_MASS_01	The exact rational mass split and refusal verdict are kernel-checked.
CALC-R10	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R10_CYCLE_01	Reachable structural cycling, positive-support acyclicity, and zero infinity mass are proved.
CALC-R11	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R11_FIBRE_01	The rational fibre pushforward sums exactly to one.
CALC-R12	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R12_SERIES_01	The positive geometric coefficients, total mass, finite state count, and zero infinity atom are proved analytically.
CALC-R13	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R13_MISMATCH_01	The complete finite mismatch selection is kernel-checked.
CALC-R14	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R14_BELL_01	The registered values are proved from mathlib's Bell-number definition.
CALC-R15	CALC	lean_closed	PhonologicalCalculus.Regression.CALC_R15_EXTERNAL_01	Contract conservativity and external scientific incompleteness are preserved as separate typed fields.
FIN-A1	FIN	lean_closed	PhonologicalCalculus.fin_a1_semanticOrbitRecovery_from_weakening;finiteOrbitRecovery_equivalences	An orbit-relation-preserving weakening constructs its induced quotient map; collision freedom is then equivalent to a unique two-sided inverse on the reachable image, with the nonempty-source boundary and all four registered fixtures checked exactly.
FIN-A2	FIN	lean_closed	PhonologicalCalculus.representativeRecovery_iff;fin_a2_representativeRecovery	Representative recovery exists exactly when the weakening is injective, its target image is stable under every requested action, and the source and target actions commute through the weakening.
FIN-A3	FIN	lean_closed	PhonologicalCalculus.fin_a3_typedSerialDecisions;fin_a3_marginals_01;fin_a3_nontermination_02;fin_a3_edgecases_03;fin_a3_types_04	All five registered proof goals are represented directly: four disjoint serial answer types, cast-guarded comparison, explicit nontermination retention, a normalization criterion for probability semantics, and the exact finite countermodels.
FIN-A4	FIN	lean_closed	PhonologicalCalculus.fin_a4_query_consumer_monotonicity;fin_a4_converse_boundary	All four registered factorization, reachable-domain, consumer-kernel, and converse-boundary proof goals are kernel-checked.
FIN-A5	FIN	lean_closed	PhonologicalCalculus.productQuery_kernel_exact;kernelRefines_productQuery_iff;productQuery_minimum_carrier_cardinality;blockwiseAddedConsumerPrice_eq;fin_a5_price_02;firstLossIndex_specification;fin_a5_loss_03;collisionSet_comp_decomposition;fin_a5_carrierAlgebra	All nine registered carrier, price, earliest-loss, factorization, redundancy, postprocessing, universal-preservation, collision, and metaproof goals are represented by generic finite propositions or their exact registered fixtures.
FIN-A6	FIN	lean_closed	PhonologicalCalculus.fin_a6_arbitraryFiniteInformationLattice;fin_a6_constructedArbitraryFinitaryManySortedContextual;fin_a6_finiteManySortedContextualRefinement_metaproof;fin_a6_definedness_03	The direct finite consumer lattice is exact. For every arbitrary-finitary many-sorted partial signature, Lean constructs complete one-hole contexts, proves that their observation relation is the greatest strong congruence below the registered observation kernel, derives exact joint-battery intersection, preserves definedness, and proves finite termination at that relation for every contracting complete splitter satisfying the explicit preservation and terminal-soundness conditions.
FIN-A7	FIN	lean_closed	PhonologicalCalculus.ResponseImport;fin_a7_responseImport;finiteLeastSection_is_section;missing_core_field_refuses_carrier	All six registered proof goals are represented by a generic proof-carrying finite response import with exact reachable image, interpretation, semantic equality, reader, descent, commuting squares, mismatch provenance, effective finite section, and field-sensitive refusal policy.
CHG-B1	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.generalPower_monotone_simplex_strict_package;generalPowerPathHarmony_runningMinimum_le;generalPowerPathHarmony_runningMinimum_lt_of_changed;powerObjective_strict_supporting_hyperplane;chg_b1_simplex_02	For every real p greater than one, running-minimum normalization, strict removal of upward excursions, the exact profile/decrease bijection, and strict convexity of the reduced power objective are kernel-checked.
CHG-B2	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.generalPower_unconditional_all_horizon_finite_persistence;exists_generalPowerFirstZeroCell;generalPowerFirstZeroCell_unique;generalPower_all_horizon_finite_persistence;chg_b2_boundary_04;chg_b2_anchors_05	Every positive h,m and real p greater than one has a unique finite threshold cell, unique boundary optimizer, exact first zero, and unique extension-stable optimizers at every longer horizon.
CHG-B3	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b3_complete_quadratic_active_set;chg_b3_unsaturated_01;chg_b3_saturated_02;chg_b3_support_03;quadratic_minimizer_is_metric_projection;quadratic_ratio_minimizers_nonexpansive;quadratic_unconstrained_ratio_distance;chg_b3_projection_04	The complete quadratic active sets, exact first-zero and extension laws, metric-projection identity, and nonexpansive ratio sensitivity of the actual constrained optimizers are kernel-checked.
