"proof_id"	"result_id"	"proof_goal_id"	"declared_classification"	"proof_method"	"direct_package_dependencies"	"transitive_dependency_count"	"system_symbol_count"	"wolfram_pass"	"python_algorithm"	"python_must_check"
"CALC-F1.ADMISSION.01.WOLFRAM-PROOF"	"CALC-F1"	"CALC-F1.ADMISSION.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`validateComparison;SecondOrderPhonologyVerification`Private`validateContractFormation;SecondOrderPhonologyVerification`Private`validateEvaluator;SecondOrderPhonologyVerification`Private`validateLayerPresentation"	18	7	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-F1.PROGRESS.02.WOLFRAM-PROOF"	"CALC-F1"	"CALC-F1.PROGRESS.02"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`preservationClassifier"	25	10	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-F1.WITNESS.03.WOLFRAM-PROOF"	"CALC-F1"	"CALC-F1.WITNESS.03"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`preservationClassifier"	25	11	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-F1.TERMINATION.04.WOLFRAM-PROOF"	"CALC-F1"	"CALC-F1.TERMINATION.04"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`finiteTerminationMeasure"	3	3	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-F1.REFUSALS.05.WOLFRAM-PROOF"	"CALC-F1"	"CALC-F1.REFUSALS.05"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`preservationClassifier"	25	12	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R01.PARTITION.01.WOLFRAM-PROOF"	"CALC-R01"	"CALC-R01.PARTITION.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`contextualObservationPartition;SecondOrderPhonologyVerification`Private`directObservationPartition"	4	10	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R01.SORTS.02.WOLFRAM-PROOF"	"CALC-R01"	"CALC-R01.SORTS.02"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`validManySortedStructureQ"	3	10	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-R01.PARTIAL.03.WOLFRAM-PROOF"	"CALC-R01"	"CALC-R01.PARTIAL.03"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`directObservationPartition"	2	11	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R02.COIMAGE.01.WOLFRAM-PROOF"	"CALC-R02"	"CALC-R02.COIMAGE.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`directObservationPartition;SecondOrderPhonologyVerification`Private`mapKernel"	4	10	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R02.PARTIAL.02.WOLFRAM-PROOF"	"CALC-R02"	"CALC-R02.PARTIAL.02"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`directObservationPartition;SecondOrderPhonologyVerification`Private`totalizePartialValue"	2	13	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
