mutant_id	result_id	mutated_formal_path	mutation_operator	scientific_meaning	expected_failing_proof_goal	equivalent_mutant_status	python_result	python_detail	wolfram_result
APP-BASIC.MUTANT.CLAIM	APP-BASIC	formal/mutants/APP-BASIC.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	APP-BASIC.REUSE.01	non_equivalent	KILLED	APP-BASIC.REUSE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
APP-MCC-COMP.MUTANT.CLAIM	APP-MCC-COMP	formal/mutants/APP-MCC-COMP.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	APP-MCC-COMP.COUNTS.01	non_equivalent	KILLED	APP-MCC-COMP.COUNTS.01.mathematical.json: ValueError: Canonical result hash mismatch | APP-MCC-COMP.PARAMETER.02.mathematical.json: ValueError: Canonical result hash mismatch | APP-MCC-COMP.TYPE.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
APP-MCC-GRID.MUTANT.CLAIM	APP-MCC-GRID	formal/mutants/APP-MCC-GRID.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	APP-MCC-GRID.CONTINUUM.01	non_equivalent	KILLED	APP-MCC-GRID.CONTINUUM.01.mathematical.json: ValueError: Canonical result hash mismatch | APP-MCC-GRID.LATTICE.02.mathematical.json: ValueError: Canonical result hash mismatch | APP-MCC-GRID.VERDICT.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
APP-MCC-LENGTH.MUTANT.CLAIM	APP-MCC-LENGTH	formal/mutants/APP-MCC-LENGTH.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	APP-MCC-LENGTH.ANCHORS.01	non_equivalent	KILLED	APP-MCC-LENGTH.ANCHORS.01.mathematical.json: ValueError: Canonical result hash mismatch | APP-MCC-LENGTH.ONEFOLLOWER.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-F1.MUTANT.CLAIM	CALC-F1	formal/mutants/CALC-F1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-F1.ADMISSION.01	non_equivalent	KILLED	CALC-F1.ADMISSION.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | CALC-F1.PROGRESS.02.mathematical.json: ValueError: Finite replay proof goal CALC-F1.ADMISSION.01 differs from its trusted exact algorithm | CALC-F1.REFUSALS.05.mathematical.json: ValueError: Finite replay proof goal CALC-F1.ADMISSION.01 differs from its trusted exact algorithm | CALC-F1.TERMINATION.04.mathematical.json: ValueError: Finite replay proof goal CALC-F1.ADMISSION.01 differs from its trusted exact algorithm | CALC-F1.WITNESS.03.mathematical.json: ValueError: Finite replay proof goal CALC-F1.ADMISSION.01 differs from its trusted exact algorithm	KILLED
CALC-R01.MUTANT.CLAIM	CALC-R01	formal/mutants/CALC-R01.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R01.PARTITION.01	non_equivalent	KILLED	CALC-R01.PARTIAL.03.mathematical.json: ValueError: Canonical result hash mismatch | CALC-R01.PARTITION.01.mathematical.json: ValueError: Canonical result hash mismatch | CALC-R01.SORTS.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R02.MUTANT.CLAIM	CALC-R02	formal/mutants/CALC-R02.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R02.COIMAGE.01	non_equivalent	KILLED	CALC-R02.COIMAGE.01.mathematical.json: ValueError: Canonical result hash mismatch | CALC-R02.PARTIAL.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R03.MUTANT.CLAIM	CALC-R03	formal/mutants/CALC-R03.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R03.REFUSAL.01	non_equivalent	KILLED	CALC-R03.REFUSAL.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R04.MUTANT.CLAIM	CALC-R04	formal/mutants/CALC-R04.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R04.SURJECTIVITY.01	non_equivalent	KILLED	CALC-R04.FRONTIER.02.mathematical.json: ValueError: Canonical result hash mismatch | CALC-R04.SURJECTIVITY.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R05.MUTANT.CLAIM	CALC-R05	formal/mutants/CALC-R05.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R05.ORBIT.01	non_equivalent	KILLED	CALC-R05.ORBIT.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
