scope	id	formalization_status	lean_declaration	note_en
result	CALC-F1	lean_closed	PhonologicalCalculus.FiniteRequest.RawFiniteContract.qualifiedFiniteContractDecision;PhonologicalCalculus.FiniteRequest.RawFiniteContract.form_isSome_eq_complete;PhonologicalCalculus.FiniteRequest.TypedFiniteContract.mem_matchedRows_iff;PhonologicalCalculus.FiniteRequest.calc_f1_refusals_05;PhonologicalCalculus.FiniteRequest.calc_f1_least_witness_03	The integrated raw-to-typed contract theorem checks every required formation field, derives duplicate-free complete licensed rows, evaluates explicit admission conditions before comparison, and proves all three exact verdict branches; the historical seven malformed fixtures and least-witness result remain separately checked.
result	CALC-R01	lean_closed	PhonologicalCalculus.Regression.CALC_R01_PARTITION_01;CALC_R01_SORTS_02;CALC_R01_PARTIAL_03	All three registered mathematical proof goals are represented by kernel-checked propositions.
result	CALC-R02	lean_closed	PhonologicalCalculus.Regression.CALC_R02_COIMAGE_01;CALC_R02_PARTIAL_02	Both registered mathematical proof goals are kernel-checked.
result	CALC-R03	lean_closed	PhonologicalCalculus.Regression.CALC_R03_REFUSAL_01	The typed refusal record and non-conservativity-vacuity exclusion are kernel-checked.
result	CALC-R04	lean_closed	PhonologicalCalculus.Regression.CALC_R04_SURJECTIVITY_01;CALC_R04_FRONTIER_02	Both finite set-difference proof goals are kernel-checked.
result	CALC-R05	lean_closed	PhonologicalCalculus.Regression.CALC_R05_ORBIT_01	Orbit invariance and failure of representative fixation are kernel-checked.
result	CALC-R06	lean_closed	PhonologicalCalculus.Regression.CALC_R06_ORBITS_01	Semantic injectivity and the explicit representative collision are kernel-checked.
result	CALC-R07	lean_closed	PhonologicalCalculus.Regression.CALC_R07_OUTBOUND_01	The complete outbound-edge result is kernel-checked.
result	CALC-R08	lean_closed	PhonologicalCalculus.Regression.CALC_R08_STATUS_01	The two empty-image statuses are distinct typed values and neither is a positive recovery result.
result	CALC-R09	lean_closed	PhonologicalCalculus.Regression.CALC_R09_MASS_01	The exact rational mass split and refusal verdict are kernel-checked.
result	CALC-R10	lean_closed	PhonologicalCalculus.Regression.CALC_R10_CYCLE_01	Reachable structural cycling, positive-support acyclicity, and zero infinity mass are proved.
result	CALC-R11	lean_closed	PhonologicalCalculus.Regression.CALC_R11_FIBRE_01	The rational fibre pushforward sums exactly to one.
result	CALC-R12	lean_closed	PhonologicalCalculus.Regression.CALC_R12_SERIES_01	The positive geometric coefficients, total mass, finite state count, and zero infinity atom are proved analytically.
result	CALC-R13	lean_closed	PhonologicalCalculus.Regression.CALC_R13_MISMATCH_01	The complete finite mismatch selection is kernel-checked.
result	CALC-R14	lean_closed	PhonologicalCalculus.Regression.CALC_R14_BELL_01	The registered values are proved from mathlib's Bell-number definition.
