proof_id	result_id	proof_goal_id	proof_method	path	sha256	formal_statement_sha256	claim_sha256	foundation_dependencies	result_dependencies	python_replay_status
APP-BASIC.REUSE.01.PROOF	APP-BASIC	APP-BASIC.REUSE.01	ExactApplicationProof	formal/proofs/APP-BASIC.REUSE.01.mathematical.json	b2f256e02e5c09e8a659d49b8717318125c3e91767c1d55f98fcb764dcab8ef9	14c3f3c79200ded31c7f33dd7dec214994a854463aedb67ba01d12fc8dfa912f	14990d6b95c2f1b3f31f2df97a25709f6ac46506f862c6a65d62c569f82dc748	FOUND-FINITE-001;FOUND-REAL-001	MAX-G6	PASS
APP-MCC-COMP.COUNTS.01.PROOF	APP-MCC-COMP	APP-MCC-COMP.COUNTS.01	ExactApplicationProof	formal/proofs/APP-MCC-COMP.COUNTS.01.mathematical.json	0c8b6e182c983b2267e3a0a5c85e375b4ee6c0c3d686b4bd7984833c96a39815	f796d0bb669392ebfeca06ca2fd90c4974d048417fb9154e496855eece25d87e	ebd5e2d70d6b48a971a25be75da40a95b12c2dde211e5d43ee79f76ef6f9d79b	FOUND-FINITE-001;FOUND-REAL-001	CHG-B2;FIN-A7	PASS
APP-MCC-COMP.PARAMETER.02.PROOF	APP-MCC-COMP	APP-MCC-COMP.PARAMETER.02	ExactApplicationProof	formal/proofs/APP-MCC-COMP.PARAMETER.02.mathematical.json	85ef6003c6008beb1830d59c5fcd2bf2944f24d2677e6fe3fca34227ecda747c	f796d0bb669392ebfeca06ca2fd90c4974d048417fb9154e496855eece25d87e	0cdeb91dd0ae567535dfd357b2bf6eaf390b56df292c6bd56c8063514784975d	FOUND-FINITE-001;FOUND-REAL-001	CHG-B2;FIN-A7	PASS
APP-MCC-COMP.TYPE.03.PROOF	APP-MCC-COMP	APP-MCC-COMP.TYPE.03	ExactApplicationProof	formal/proofs/APP-MCC-COMP.TYPE.03.mathematical.json	494024a275e6e38629c07b3deb3cd1f15d1c10511701eb4e0b9ab4c2431f048d	f796d0bb669392ebfeca06ca2fd90c4974d048417fb9154e496855eece25d87e	2eb395ed68c7cdd6bed16b01129e463b3b965490c64b5fe5bc41a985df807158	FOUND-FINITE-001;FOUND-REAL-001	CHG-B2;FIN-A7	PASS
APP-MCC-GRID.CONTINUUM.01.PROOF	APP-MCC-GRID	APP-MCC-GRID.CONTINUUM.01	ExactApplicationProof	formal/proofs/APP-MCC-GRID.CONTINUUM.01.mathematical.json	92ba6203f3059c831f075d62e663558140452f88c1d0fb9727d21483b1299b4c	f019672b48a6274c318e071b932758ce3fcc6e267c2ca55354bd0be2f0889893	3c5a5b3fb1fbf45806f00a68107b534a6c8bd7fb2838509401873605f36e355c	FOUND-FINITE-001;FOUND-REAL-001	CHG-B4;CHG-B6	PASS
APP-MCC-GRID.LATTICE.02.PROOF	APP-MCC-GRID	APP-MCC-GRID.LATTICE.02	ExactApplicationProof	formal/proofs/APP-MCC-GRID.LATTICE.02.mathematical.json	da6b2e5b2cd3ea8f3d3b5a3753ae1b9e2148bcb3564121e8f5aa841e1cb418ef	f019672b48a6274c318e071b932758ce3fcc6e267c2ca55354bd0be2f0889893	2e1c815083dada2295995c42495078bba21d1ea0824f872068c1abf70e591928	FOUND-FINITE-001;FOUND-REAL-001	CHG-B4;CHG-B6	PASS
APP-MCC-GRID.VERDICT.03.PROOF	APP-MCC-GRID	APP-MCC-GRID.VERDICT.03	ExactApplicationProof	formal/proofs/APP-MCC-GRID.VERDICT.03.mathematical.json	34a4fe91ba0d0b9d4f93366253ebcf6bc968b20f29a3a3b4ff240e23aa4a82dd	f019672b48a6274c318e071b932758ce3fcc6e267c2ca55354bd0be2f0889893	3f7ac1ecc13c4a1c48491d5a2ec22098b963e739b3d1a2e1b335bc93eda3be83	FOUND-FINITE-001;FOUND-REAL-001	CHG-B4;CHG-B6	PASS
APP-MCC-LENGTH.ANCHORS.01.PROOF	APP-MCC-LENGTH	APP-MCC-LENGTH.ANCHORS.01	ExactApplicationProof	formal/proofs/APP-MCC-LENGTH.ANCHORS.01.mathematical.json	b4dfce02e9655b08e9fe05106bf98469833921b15d8916efacb583b6b5ed1929	b32a629b1c0b6eebb7793055a673c171ac067c583193e1dd3c9ce87d0df4894f	2571e23f3558832531b65c34656f8228909c55e598f2a5f5ffec453db0cb7981	FOUND-FINITE-001;FOUND-REAL-001	CHG-B2;CHG-B3	PASS
APP-MCC-LENGTH.ONEFOLLOWER.02.PROOF	APP-MCC-LENGTH	APP-MCC-LENGTH.ONEFOLLOWER.02	ExactApplicationProof	formal/proofs/APP-MCC-LENGTH.ONEFOLLOWER.02.mathematical.json	530ad05515eddf07d10b8b3d10a6d848d474e02efc5c4e4e25714f0ddc995845	b32a629b1c0b6eebb7793055a673c171ac067c583193e1dd3c9ce87d0df4894f	744092ce93bff9bec58d8d1b103a55c886c1715ba1bbb921cc1eece02c5a6549	FOUND-FINITE-001;FOUND-REAL-001	CHG-B2;CHG-B3	PASS
CALC-F1.ADMISSION.01.FINITE-SEMANTIC.PROOF	CALC-F1	CALC-F1.ADMISSION.01	FiniteSemanticProof	formal/proofs/CALC-F1.ADMISSION.01.mathematical.json	57a81bf21bfe076f959cd828f121c4f8286430829c4801bd84e4621dad0827b6	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	30851d0ca52950faf408cd289ec9243bdf3615cd514dfbbcc2ab9b8ba78f3290	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-F1.METAPROOF.LEAN.PROOF	CALC-F1	CALC-F1.METAPROOF	LeanKernelProof	formal/proofs/CALC-F1.METAPROOF.mathematical.json	41b4577919da4298a037de30a6b113c4f49c81909f973b57f93af787dd26c849	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	647f9a85a5221c81d98e6698562e30fd95117a1963994518dc46abd7a0585fef	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-F1.PROGRESS.02.FINITE-SEMANTIC.PROOF	CALC-F1	CALC-F1.PROGRESS.02	FiniteSemanticProof	formal/proofs/CALC-F1.PROGRESS.02.mathematical.json	6e6fc94eaafe29c492c01a0b9b8a68d46991ce2df8569af51c15b65966a2c642	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	62a8588ef10000a912dc99882643dec087aeea38796a2f0b1d884472a358818a	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-F1.REFUSALS.05.FINITE-SEMANTIC.PROOF	CALC-F1	CALC-F1.REFUSALS.05	FiniteSemanticProof	formal/proofs/CALC-F1.REFUSALS.05.mathematical.json	a58b2f6b908ffbd828bc0c56f837af252380ab49c13e3cb9d2c37181b94c399e	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	7702b98d021b0c224b6478375ce1c26ce36c820123dcffcd75f13b3073392cca	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-F1.TERMINATION.04.FINITE-SEMANTIC.PROOF	CALC-F1	CALC-F1.TERMINATION.04	FiniteSemanticProof	formal/proofs/CALC-F1.TERMINATION.04.mathematical.json	270a1bd6e672ffa6368f2c41726f72c04893837fcc8c7f218773ca7a85a8374d	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	3095c8abb93ec4f22f47c388f0cce24ee9643f0695acea5f16832dfac3c3d540	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-F1.WITNESS.03.FINITE-SEMANTIC.PROOF	CALC-F1	CALC-F1.WITNESS.03	FiniteSemanticProof	formal/proofs/CALC-F1.WITNESS.03.mathematical.json	837e38a1fc082ca08d7adda94aeab5405e2e25308430d7ddebced4029f276b25	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	79137ded16d809558d4474fb8d80476d70d426a8a006bad59af09a137e6e92b2	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	PASS
CALC-R01.PARTIAL.03.PROOF	CALC-R01	CALC-R01.PARTIAL.03	ExactFiniteComputationProof	formal/proofs/CALC-R01.PARTIAL.03.mathematical.json	7e3f1f078381c0e49231ac7056cf9c4de9119e3f21357dbd01bd152db979e1a7	1edd33e91dfb348e41d9dcc6da448f7c2af572fbb6cba0e9d24922e27a6d66cd	4a6882a034b87dd319bea996e46ef34c2b273b3140ab3ed84df92f86d32c22ac	FOUND-FINITE-001		PASS
CALC-R01.PARTITION.01.PROOF	CALC-R01	CALC-R01.PARTITION.01	ExactFiniteComputationProof	formal/proofs/CALC-R01.PARTITION.01.mathematical.json	bed31ca910efd60cf01fd486cdee008fa1b681ce7325da3a76596610bc75eb0b	1edd33e91dfb348e41d9dcc6da448f7c2af572fbb6cba0e9d24922e27a6d66cd	8388242d002393e629534714c6b785fcc7de57f9c1ce38c48329d0ace10d2adb	FOUND-FINITE-001		PASS
CALC-R01.SORTS.02.PROOF	CALC-R01	CALC-R01.SORTS.02	ExactFiniteComputationProof	formal/proofs/CALC-R01.SORTS.02.mathematical.json	8edb4d6b35e548f01c18458cd936a07eb0d70144d38f83f185846d4ffa7234bd	1edd33e91dfb348e41d9dcc6da448f7c2af572fbb6cba0e9d24922e27a6d66cd	bf2ed462c67fa2755111951112d116de9296b9d84286439a142240e1fd37dfbb	FOUND-FINITE-001		PASS
CALC-R02.COIMAGE.01.PROOF	CALC-R02	CALC-R02.COIMAGE.01	ExactFiniteComputationProof	formal/proofs/CALC-R02.COIMAGE.01.mathematical.json	8e71853f5d25cfe0ba744038ba00a9d21197b9c6bd781239dfffa962546437a5	2bea56a5e3744ebe39c01ed48c786776f2cf4b12cab5f6cbc6dcf3e0d641f58d	c02f81165b44d01bb602f010f2e1e0e1a885ae978a7d04cf4bca588f773f4ee6	FOUND-FINITE-001		PASS
CALC-R02.PARTIAL.02.PROOF	CALC-R02	CALC-R02.PARTIAL.02	ExactFiniteComputationProof	formal/proofs/CALC-R02.PARTIAL.02.mathematical.json	c904236e9364e06cb4c4d8f70619aef5afb86823509f419c64968401b43fa4b9	2bea56a5e3744ebe39c01ed48c786776f2cf4b12cab5f6cbc6dcf3e0d641f58d	91f3f791fa39ee9ecd0d67f1c4dd3a998d9b02f9f94dc35c696ca4539003340f	FOUND-FINITE-001		PASS
CALC-R03.REFUSAL.01.PROOF	CALC-R03	CALC-R03.REFUSAL.01	ExactFiniteComputationProof	formal/proofs/CALC-R03.REFUSAL.01.mathematical.json	de8a9ac403faaf21b7cba3a0f0510b02afa84e38d4fc7720f3330782467e1a78	b4e629cca9e1dbf241d21d13afc7a6bffe2c0073a1f319c104a1e0ad9245e863	1f479b14fdead41ae690336e453918512b7c6ab04ec8cb0ba404a967ea9b8572	FOUND-FINITE-001		PASS
