inventory_number	source_group	textgrid_basename	source_textgrid_relative_path	source_textgrid_size_bytes	source_textgrid_sha256	cell	target_hanzi_interval_1based	target_script_character_index_1based	occurrence_ordinal_within_cell	target_hanzi	hanzi_script	analysis_split	left_context_8	immediate_previous_hanzi	immediate_next_hanzi	right_context_8	construction_scope_class	construction_subtype	scope_rule_id	scope_evidence	wu_source_location	corrected_predicted_category	original_predicted_category	original_raw_target_pinyin	original_observed_category	original_decision	corrected_decision	acoustic_frame_status	scope_assignment_uses_pinyin	scope_assignment_uses_audio
4	SSB0005	SSB00050004.TextGrid	4/SSB00050004.TextGrid	4385	830f3db90781111f428c471286bc96f2a8bc4e983d7536b212d23f19e2bda177	BARE	11	10	1	一	黑客宣布只要拨打某一个电话	development	客宣布只要拨打某	某	个	个电话	CLEAR_SIMPLEX	SIMPLEX_MODIFIED_MOU	R3_REMAINING_SIMPLEX_YI_GE	visible_string=某一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
64	SSB0005	SSB00050067.TextGrid	64/SSB00050067.TextGrid	4263	a785b176e4ca349aae3b4f09943f5fffb0e910ded02478955b62a56f9ca91a81	BARE	5	4	1	一	给团队一个必须兑现的承诺	development	给团队	队	个	个必须兑现的承诺	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
100	SSB0005	SSB00050106.TextGrid	100/SSB00050106.TextGrid	4464	fa2b37ca795035ea12110f9e9f93ddb669a26ba3a71b489a25934930602d1d48	BARE	10	9	1	一	结果是几块牌子为一个目标服务	development	结果是几块牌子为	为	个	个目标服务	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
231	SSB0005	SSB00050243.TextGrid	231/SSB00050243.TextGrid	5500	9f66fc8717e3e2bc31e3c8e2277f8998c2a44bfec3b3666472b60c5bf7c361c8	BARE	11	10	1	一	北京土地市场在时隔一个多月后再次开闸	development	京土地市场在时隔	隔	个	个多月后再次开闸	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
359	SSB0005	SSB00050378.TextGrid	359/SSB00050378.TextGrid	6852	45e6fc169737697f14a3d158f6ec499e5e27f431655019aa57db7763cbe10624	BARE	11	10	1	一	广州妙龄女露宿街头一个多月自称痴因车祸失忆	development	州妙龄女露宿街头	头	个	个多月自称痴因车	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
362	SSB0005	SSB00050381.TextGrid	362/SSB00050381.TextGrid	2366	613021492f12a74e5c5287a707319cb8089330b4d47a4dcec3d90d12915b2e49	BARE	2	1	1	一	一个人的情歌	development		START	个	个人的情歌	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
443	SSB0005	SSB00050464.TextGrid	443/SSB00050464.TextGrid	6281	b5a0c29473ef7e60cd7609a849cb89dc47e53a976b35c6d85d14aefc541c9d09	BARE	8	7	1	一	他被匿名开另一个微博帐号安慰女友给爷笑个	development	他被匿名开另	另	个	个微博帐号安慰女	CLEAR_SIMPLEX	SIMPLEX_MODIFIED_LING	R3_REMAINING_SIMPLEX_YI_GE	visible_string=另一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
536	SSB0009	SSB00090074.TextGrid	536/SSB00090074.TextGrid	6315	cba5c3ed7305aa0de1d2960e1ef98c5f66e698221418c7b4a1e4c3a6c7893fbb	BARE	2	1	1	一	一个水资源交易市场正在农民之间逐渐形成	development		START	个	个水资源交易市场	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
765	SSB0009	SSB00090313.TextGrid	765/SSB00090313.TextGrid	4645	4cdd61df4818fe3db553f0b24ad7a749eb8ad71f088d8af2f08388187fb3d8ae	BARE	4	3	1	一	但是一个可回收的纸巾会怎么样	development	但是	是	个	个可回收的纸巾会	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
795	SSB0009	SSB00090344.TextGrid	795/SSB00090344.TextGrid	2942	891f794aa219c811028272f9b3f4b73b00be974a8f79009c8c132cafbfd1d0de	BARE	5	4	1	一	我来到一个大房间	development	我来到	到	个	个大房间	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
