label	kind	number	page_pt	source	source_line	title	title_pt
eq:intro-orders	equation	1	28	chapters/ch01_problem.tex	144	Winner preservation and full-order reversal	
eq:intro-conservativity	equation	2	29	chapters/ch01_problem.tex	229	Typed transport and conservation	
prop:int-mutual-scalar-limit	proposition	4.3	105	chapters/ch04_integration.tex	240	Limit of attenuation-only restrictions	Limite das restrições somente sobre a atenuação
def:apph-positive-ray	definition	J.1	487	appendices/app_j_selected_output.tex	538	Positive-ray completion	Complementação por raios positivos
lem:apph-halfspace-inclusion	lemma	J.2	487	appendices/app_j_selected_output.tex	559	Inclusion of strict homogeneous halfspaces	Inclusão de semiespaços homogêneos estritos
thm:apph-sel-f1	theorem	J.3	488	appendices/app_j_selected_output.tex	608	Pairwise completion criterion	Critério da complementação pareada
thm:apph-open-gap	theorem	J.4	490	appendices/app_j_selected_output.tex	716	Generic open spherical gap	Lacuna esférica aberta genérica
cor:apph-full-support-gap	corollary	J.5	491	appendices/app_j_selected_output.tex	762	Full-support spherical overcount	Supercontagem esférica com suporte total
thm:apph-sel-f2	theorem	J.6	502	appendices/app_j_selected_output.tex	1303	Complete-binary selected-output reversal	Reversão da saída selecionada binária completa
lem:appg-first-step	lemma	E.1	382	appendices/app_e_opacity.tex	439	First-step barrier	Barreira do primeiro passo
thm:apph-refinement	theorem	C.1	346	appendices/app_c_query_discovery.tex	115	The refinement computes separation, with witnesses	O refinamento calcula a separação, com testemunhas
thm:apph-unarisation	theorem	C.2	347	appendices/app_c_query_discovery.tex	152	Reduction under an adequate policy	Redução sob uma política adequada
prop:apph-frame	proposition	C.3	347	appendices/app_c_query_discovery.tex	182	The datum does not mention the base candidate	Elicitação enquadrada num modelo fixo
prop:apph-tone	proposition	C.4	349	appendices/app_c_query_discovery.tex	250	When the tone bridge resolves a merge	Quando a ponte tonal resolve uma fusão
prop:appi-rejects	proposition	D.3	354	appendices/app_d_declaration_language.tex	133	What the discipline rejects	O que a disciplina rejeita
thm:appi-adequacy	theorem	D.4	355	appendices/app_d_declaration_language.tex	168	Adequacy of the declaration language	Adequação da linguagem de declarações
thm:appi-no-s	theorem	D.5	355	appendices/app_d_declaration_language.tex	190	Strict relational declarations cannot retain residual pressure after access failure	Pressão residual e falha de resolução
thm:appi-footprint	theorem	D.11	362	appendices/app_d_declaration_language.tex	535	Footprint congruence	Congruência de pegadas
thm:appi-noninterference	theorem	D.12	362	appendices/app_d_declaration_language.tex	550	Noninterference over the productive generator	Não interferência sobre o gerador produtivo
prop:appi-record	proposition	D.13	367	appendices/app_d_declaration_language.tex	807	Sufficiency and necessity of the retained record	Avaliação imediata e ablações do registro retido
prop:appi-individuation	proposition	D.14	368	appendices/app_d_declaration_language.tex	841	What individuates a retained obligation	Individuação da obrigação
thm:appi-zero	theorem	D.16	369	appendices/app_d_declaration_language.tex	911	Zero contribution of an unresolved subject	Contribuição nula de um sujeito não resolvido
prop:appj-nonrobust	proposition	K.1	514	appendices/app_k_predictions.tex	175	No robust separation on a finite battery of this family	
prop:appk-locality	proposition	F.1	393	appendices/app_f_computation.tex	25	Locality of contributions	Localidade das contribuições
thm:appk-regular	theorem	F.2	393	appendices/app_f_computation.tex	45	The argmin relation is regular	A relação de argmin sob custos comensuráveis
prop:appk-feeding	proposition	F.3	396	appendices/app_f_computation.tex	187	Length-bounded feeding	Alimentação limitada em comprimento
prop:calc-discovery	proposition	B.1	284	appendices/sections/app_b_comparison_contract.tex	273	Discovery and registration	Descoberta e registro
thm:calc-f1	theorem	2.1	49	chapters/ch02_calculus.tex	548	Qualified finite decision theorem	Teorema finito qualificado de decisão
thm:rep-fin-a1	theorem	B.7	302	appendices/sections/app_b_representation_details.tex	117	Semantic-orbit recovery	Recuperação de órbita semântica
thm:rep-fin-a2	theorem	B.8	303	appendices/sections/app_b_representation_details.tex	197	Representative recovery	Recuperação de representantes
thm:rep-fin-a3	theorem	B.9	306	appendices/sections/app_b_representation_details.tex	305	Typed finite serial decisions	Decisões seriais finitas tipadas
thm:rep-fin-a4	theorem	2.2	52	chapters/ch02_calculus.tex	704	Query and consumer monotonicity	Monotonicidade de consultas e consumidores
thm:rep-licensed	theorem	B.10	307	appendices/sections/app_b_representation_details.tex	379	Licensed queries	Consultas licenciadas
thm:rep-fin-a5	theorem	2.3	57	chapters/ch02_calculus.tex	916	Finite carrier algebra and irreversible loss	Álgebra finita de suportes portadores e perda irreversível
thm:rep-fin-a6	theorem	2.4	61	chapters/ch02_calculus.tex	1158	Finite consumer-battery information structure	Estrutura finita de informação de baterias de consumidores
thm:rep-fin-a7	theorem	B.11	309	appendices/sections/app_b_representation_details.tex	467	Proof-carrying symbolic response import	Importação de respostas simbólicas acompanhada de prova
def:rep-structure	definition	3.1	70	chapters/ch03_opacity.tex	183	Admissible structure	Estrutura admissível
def:rep-generator	definition	3.2	71	chapters/ch03_opacity.tex	210	Generator	Gerador
thm:rep-wellformed	theorem	D.2	353	appendices/app_d_declaration_language.tex	91	Well-formedness, preservation, and equivariance	Boa formação, preservação e equivariância
thm:maxent-quotient	theorem	5.14	166	chapters/ch05_maxent.tex	1957	The created-position quotient is forced	Posições criadas ausentes e massa de base
thm:maxent-temperature	theorem	5.15	166	chapters/ch05_maxent.tex	1982	Maximum temperature	Crescimento do gerador e normalização
thm:max-g1	theorem	5.1	140	chapters/ch05_maxent.tex	712	Exact finite-MaxEnt sign carrier	Suporte portador exato do sinal em MaxEnt finita
thm:max-g2	theorem	5.2	142	chapters/ch05_maxent.tex	804	Integer-polynomial ledger realization	Realização de registros para polinômios inteiros
thm:max-g4-cells	theorem	5.3	143	chapters/ch05_maxent.tex	869	Normalizer-by-relation classification	Classificação por normalizador e relação
thm:max-g5	theorem	5.4	146	chapters/ch05_maxent.tex	1010	Typed vacuity and numerical transport	Vacuidade tipada e transporte numérico
thm:max-g6	theorem	5.5	148	chapters/ch05_maxent.tex	1083	Basic Syllable decomposition	Decomposição de Basic Syllable
thm:max-g3	theorem	G.1	412	appendices/app_g_maxent_algebra.tex	525	Compact-minimum-relative one-hot realization	Realização one-hot relativa ao mínimo compacto
thm:max-g4-selector	theorem	G.2	414	appendices/app_g_maxent_algebra.tex	600	Proper-CNF selector construction	Construção seletora para CNF própria
thm:max-g7	theorem	5.6	151	chapters/ch05_maxent.tex	1228	Finite fixed-support mixed-jet identification	Identificação por jatos mistos finitos em suporte fixo
thm:max-g8	theorem	G.4	426	appendices/app_g_maxent_algebra.tex	1278	Sharp ordered contact--phase capacity	Capacidade exata ordenada de contatos e fases
thm:max-g9	theorem	5.7	153	chapters/ch05_maxent.tex	1313	Incomparable MaxEnt consumers	Consumidores incomparáveis em MaxEnt
prop:maxent-schwa-law	proposition	5.11	158	chapters/ch05_maxent.tex	1582	The law	A lei
prop:chg-b1	proposition	6.1	173	chapters/ch06_continuous_hg.tex	192	Monotone normal form	Forma normal monótona
thm:chg-b2	theorem	6.2	175	chapters/ch06_continuous_hg.tex	278	Exact finite persistence for directional superlinear continuous HG	Persistência finita exata para HG contínua direcional superlinear
cor:chg-b3	corollary	6.3	177	chapters/ch06_continuous_hg.tex	388	Complete quadratic active set	Conjunto ativo quadrático completo
thm:chg-nonnegative-sites	theorem	H.2	440	appendices/app_h_continuous_hg.tex	427	Nonnegative sites	Sítios não negativos
thm:chg-obstruction	theorem	H.3	442	appendices/app_h_continuous_hg.tex	486	An exact obstruction to monotone reduction	Uma obstrução à redução monótona
prop:chg-b5	proposition	H.4	444	appendices/app_h_continuous_hg.tex	578	Complete exponent boundary	Fronteira completa do expoente
prop:flux-d1	proposition	I.2	459	appendices/app_i_context_flux_support.tex	131	Fixed-load path-flux equivalence	Equivalência de fluxo em percursos sob carga fixa
prop:flux-two-load-collapse	proposition	I.3	460	appendices/app_i_context_flux_support.tex	161	Collapse by incommensurate loads	Colapso por cargas incomensuráveis
prop:flux-star-collapse	proposition	I.4	460	appendices/app_i_context_flux_support.tex	175	Collapse by a licensed branching probe	Colapso por uma sonda ramificada autorizada
prop:flux-odd-contact	proposition	I.5	463	appendices/app_i_context_flux_support.tex	334	Analytic realization of every positive odd contact	Realização analítica de todo contato ímpar positivo
prop:flux-contact-response	proposition	I.6	464	appendices/app_i_context_flux_support.tex	375	Conditional logarithmic support response	Resposta logarítmica condicional do suporte
prop:app-mcc-phases	proposition	H.1	439	appendices/app_h_continuous_hg.tex	375	Finite fixed-parameter phase classification	Classes de horizontes com parâmetros fixos
