root,template,unrounded,stratum,final_low_vowel,target_intended_incidences,target_covered_incidences,target_scoreable,acc_intended_incidences,acc_covered_incidences,acc_input_available,acc_interpretable_available,outer_fold
a'ile,BF,True,BF|true,e,568,568,True,163,163,True,True,3
abide,BF,True,BF|true,e,11,11,True,11,11,True,True,2
aghriqxana,BB,True,BB|true,a,315,6,True,17,0,True,False,4
aha,BB,True,BB|true,a,1,1,True,1,1,True,True,3
ahale,BF,True,BF|true,e,251,251,True,394,394,True,True,4
akadémiye,BF,True,BF|true,e,45,45,True,19,19,True,True,0
alicha,BB,True,BB|true,a,1,1,True,0,0,False,False,2
alla,BB,True,BB|true,a,217,217,True,27,27,True,True,0
alma,BB,True,BB|true,a,10,10,True,0,0,False,False,4
amma,BB,True,BB|true,a,383,383,True,238,238,True,True,3
ana,BB,True,BB|true,a,233,233,True,171,171,True,True,4
antanta,BB,True,BB|true,a,1,1,True,0,0,False,False,3
aptonomiye,BF,False,BF|false,e,14,14,True,25,25,True,True,1
ara,BB,True,BB|true,a,18,18,True,0,0,False,False,1
archa,BB,True,BB|true,a,6,6,True,13,13,True,True,2
arghamcha,BB,True,BB|true,a,9,9,True,5,5,True,True,0
ariye,BF,True,BF|true,e,1,1,True,1,1,True,True,2
armiye,BF,True,BF|true,e,152,152,True,96,96,True,True,2
ashxana,BB,True,BB|true,a,94,94,True,19,19,True,True,1
aspirantura,BB,False,BB|false,a,64,64,True,13,13,True,True,1
assimilyatsiye,BF,True,BF|true,e,19,19,True,17,17,True,True,1
astane,BF,True,BF|true,e,40,40,True,4,4,True,True,2
astronomiye,BF,False,BF|false,e,2,2,True,0,0,False,False,0
ata,BB,True,BB|true,a,66,66,True,43,43,True,True,0
atmosféra,BB,False,BB|false,a,6,6,True,2,2,True,True,0
aza,BB,True,BB|true,a,1,1,True,2,2,True,True,2
bade,BF,True,BF|true,e,1,1,True,0,0,False,False,3
baha,BB,True,BB|true,a,453,453,True,90,90,True,True,3
bahane,BF,True,BF|true,e,144,144,True,7,7,True,True,4
bajxana,BB,True,BB|true,a,1,1,True,0,0,False,False,4
bala,BB,True,BB|true,a,462,462,True,683,683,True,True,1
bara,BB,True,BB|true,a,39,39,True,0,0,False,False,2
bashla,BB,True,BB|true,a,1,1,True,0,0,False,False,1
bashqarma,BB,True,BB|true,a,1,1,True,0,0,False,False,2
basmixana,BB,True,BB|true,a,55,2,True,1,0,True,False,3
bataréya,BB,True,BB|true,a,1,1,True,0,0,False,False,4
bayanname,BF,True,BF|true,e,8,8,True,6,6,True,True,1
baywechche,FF,True,FF|true,e,6,6,True,2,2,True,True,3
baza,BB,True,BB|true,a,78,78,True,32,32,True,True,0
belche,FF,True,FF|true,e,3,3,True,0,0,False,False,1
birleshme,FF,True,FF|true,e,12,12,True,1,1,True,True,3
bola,BB,False,BB|false,a,1,1,True,0,0,False,False,3
bolghuche,BF,False,BF|false,e,8,8,True,7,7,True,True,0
bomba,BB,False,BB|false,a,45,45,True,68,68,True,True,4
bronza,BB,False,BB|false,a,1,1,True,2,2,True,True,1
budda,BB,False,BB|false,a,1,1,True,0,0,False,False,3
bölme,FF,False,FF|false,e,142,142,True,18,18,True,True,2
böre,FF,False,FF|false,e,30,30,True,38,38,True,True,3
bügünche,FF,False,FF|false,e,1,1,True,0,0,False,False,1
chama,BB,True,BB|true,a,2,2,True,1,1,True,True,2
chana,BB,True,BB|true,a,8,8,True,1,1,True,True,4
changchile,BF,True,BF|true,e,1,1,True,1,1,True,True,2
charshenbe,FF,True,FF|true,e,2,2,True,0,0,False,False,3
charwa,BB,True,BB|true,a,1,1,True,2,2,True,True,4
chasa,BB,True,BB|true,a,1,1,True,0,0,False,False,2
chaza,BB,True,BB|true,a,10,10,True,1,1,True,True,1
chelle,FF,True,FF|true,e,4,4,True,0,0,False,False,3
chewre,FF,True,FF|true,e,1,1,True,1,1,True,True,0
chola,BB,False,BB|false,a,4,4,True,0,0,False,False,2
chümüle,FF,False,FF|false,e,6,6,True,4,4,True,True,0
chüshenche,FF,False,FF|false,e,239,239,True,70,70,True,True,3
da'ire,BF,True,BF|true,e,556,556,True,49,49,True,True,0
dacha,BB,True,BB|true,a,14,14,True,0,0,False,False,1
dada,BB,True,BB|true,a,27,27,True,6,6,True,True,2
daire,BF,True,BF|true,e,228,228,True,8,8,True,True,3
dala,BB,True,BB|true,a,88,88,True,24,24,True,True,3
dalda,BB,True,BB|true,a,51,51,True,2,2,True,True,2
damolla,BB,False,BB|false,a,9,9,True,12,12,True,True,0
dara,BB,True,BB|true,a,59,59,True,0,0,False,False,2
debdebe,FF,True,FF|true,e,1,1,True,0,0,False,False,3
depne,FF,True,FF|true,e,1,1,True,0,0,False,False,0
derije,FF,True,FF|true,e,5761,5761,True,12,12,True,True,2
dersxana,BB,True,BB|true,a,50,50,True,2,2,True,True,0
derwaza,BB,True,BB|true,a,35,35,True,32,32,True,True,0
derya,FB,True,FB|true,a,88,88,True,11,11,True,True,4
desmaye,BF,True,BF|true,e,4,4,True,0,0,False,False,3
dewa,FB,True,FB|true,a,72,72,True,66,66,True,True,0
diploma,BB,False,BB|false,a,10,10,True,67,67,True,True,4
diplomatiye,BF,False,BF|false,e,27,27,True,7,7,True,True,2
doppa,BB,False,BB|false,a,11,11,True,14,14,True,True,2
dorixana,BB,False,BB|false,a,7,5,True,1,0,True,False,1
doxturxana,BB,False,BB|false,a,854,817,True,10,10,True,True,1
doza,BB,False,BB|false,a,1,1,True,1,1,True,True,4
du'a,BB,False,BB|false,a,63,63,True,18,18,True,True,1
duniya,BB,False,BB|false,a,2555,2555,True,232,232,True,True,4
dunya,BB,False,BB|false,a,5655,5655,True,925,925,True,True,0
démokratiye,BF,False,BF|false,e,91,91,True,187,187,True,True,4
düshenbe,FF,False,FF|false,e,31,31,True,1,1,True,True,4
ediliye,FF,True,FF|true,e,2,2,True,0,0,False,False,2
edliye,FF,True,FF|true,e,6,6,True,7,7,True,True,4
ehdiname,BF,True,BF|true,e,68,68,True,23,23,True,True,3
ela,FB,True,FB|true,a,31,31,True,15,15,True,True,4
elchixana,BB,True,BB|true,a,50,49,True,2,2,True,True,0
en'ene,FF,True,FF|true,e,443,443,True,84,84,True,True,3
endishe,FF,True,FF|true,e,774,774,True,74,74,True,True,1
endize,FF,True,FF|true,e,9,9,True,14,14,True,True,2
epsane,BF,True,BF|true,e,17,17,True,6,6,True,True,0
erebche,FF,True,FF|true,e,29,29,True,12,12,True,True,4
esletme,FF,True,FF|true,e,6,6,True,1,1,True,True,2
eslihe,FF,True,FF|true,e,4,4,True,2,2,True,True,1
eslime,FF,True,FF|true,e,22,22,True,21,21,True,True,0
esna,FB,True,FB|true,a,167,167,True,0,0,False,False,2
esra,FB,True,FB|true,a,2,2,True,1,1,True,True,1
ete,FF,True,FF|true,e,53,53,True,31,31,True,True,4
exletxana,BB,True,BB|true,a,17,2,True,1,0,True,False,1
eyibname,BF,True,BF|true,e,32,32,True,13,13,True,True,4
