"window_id"	"band_lower_hz"	"score_variant"	"median_delta"	"development_gate_pass"
"fixed_L20_O+0"	500	"full"	"191913577781/500000000000"	"YES"
"fixed_L20_O+0"	500	"leave_flatness_out"	"30886186113/50000000000"	"NO"
"fixed_L20_O+0"	500	"leave_high_low_out"	"60144992581/200000000000"	"YES"
"fixed_L20_O+0"	500	"leave_zcr_out"	"212353082163/500000000000"	"YES"
"fixed_L20_O+0"	1000	"full"	"414600013753/1000000000000"	"YES"
"fixed_L20_O+0"	1000	"leave_flatness_out"	"134833540143/250000000000"	"YES"
"fixed_L20_O+0"	1000	"leave_high_low_out"	"71131981149/200000000000"	"YES"
"fixed_L20_O+0"	1000	"leave_zcr_out"	"178853855543/500000000000"	"YES"
"fixed_L20_O+10"	500	"full"	"162782914789/250000000000"	"YES"
"fixed_L20_O+10"	500	"leave_flatness_out"	"616924687823/1000000000000"	"NO"
"fixed_L20_O+10"	500	"leave_high_low_out"	"1423187841/2500000000"	"YES"
"fixed_L20_O+10"	500	"leave_zcr_out"	"95542057797/125000000000"	"NO"
"fixed_L20_O+10"	1000	"full"	"130937018667/250000000000"	"YES"
"fixed_L20_O+10"	1000	"leave_flatness_out"	"568979868657/1000000000000"	"NO"
"fixed_L20_O+10"	1000	"leave_high_low_out"	"104509084533/250000000000"	"NO"
"fixed_L20_O+10"	1000	"leave_zcr_out"	"337362713619/1000000000000"	"NO"
"fixed_L20_O-5"	500	"full"	"102786850947/250000000000"	"YES"
"fixed_L20_O-5"	500	"leave_flatness_out"	"81421457737/125000000000"	"YES"
"fixed_L20_O-5"	500	"leave_high_low_out"	"5282400329/15625000000"	"YES"
"fixed_L20_O-5"	500	"leave_zcr_out"	"327584615269/1000000000000"	"YES"
"fixed_L20_O-5"	1000	"full"	"106840924737/250000000000"	"YES"
"fixed_L20_O-5"	1000	"leave_flatness_out"	"103732146649/200000000000"	"YES"
"fixed_L20_O-5"	1000	"leave_high_low_out"	"79086702387/200000000000"	"NO"
"fixed_L20_O-5"	1000	"leave_zcr_out"	"328713842089/1000000000000"	"YES"
"fixed_L20_O+5"	500	"full"	"143571905361/250000000000"	"YES"
"fixed_L20_O+5"	500	"leave_flatness_out"	"207114270647/500000000000"	"YES"
"fixed_L20_O+5"	500	"leave_high_low_out"	"188919575917/500000000000"	"YES"
"fixed_L20_O+5"	500	"leave_zcr_out"	"509377364027/1000000000000"	"YES"
"fixed_L20_O+5"	1000	"full"	"460342648687/1000000000000"	"YES"
