"inventory_number"	"cell"	"target_hanzi_interval_1based"	"occurrence_ordinal_within_cell"	"construction_scope_class"	"original_predicted_category"	"original_observed_category"	"original_decision"	"corrected_predicted_category"	"corrected_decision"
4	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
64	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
100	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
231	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
359	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
362	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
443	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
536	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
765	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
795	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
834	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
880	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
932	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1132	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1151	"BARE"	7	1	"CLEAR_COMPLEX_LAST_DIGIT"	"YI_T2"	"YI_T1"	"COUNTEREXAMPLE"	"YI_T1"	"MATCH"
1207	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1232	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1286	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1372	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1442	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1560	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1673	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1702	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T1"	"COUNTEREXAMPLE"	"YI_T2"	"COUNTEREXAMPLE"
1728	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1769	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1813	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1858	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1891	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
1916	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2053	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2083	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2177	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2207	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2275	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2275	"BARE"	7	2	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2288	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2373	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2412	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2456	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2492	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2493	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2573	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2598	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2675	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2697	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
