result_id	status	used	declared_assumption_ids	used_assumption_ids	unused_assumption_ids	classification	foundation_dependencies
APP-BASIC	PASS	true	APP-BASIC.SOURCE.01	APP-BASIC.SOURCE.01	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
APP-MCC-COMP	PASS	true	APP-MCC-COMP.SOURCE.01	APP-MCC-COMP.SOURCE.01	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
APP-MCC-GRID	PASS	true	APP-MCC-GRID.SOURCE.01	APP-MCC-GRID.SOURCE.01	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
APP-MCC-LENGTH	PASS	true	APP-MCC-LENGTH.SOURCE.01	APP-MCC-LENGTH.SOURCE.01	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
CALC-F1	PASS	true	CALC-F1.A1;CALC-F1.A2;CALC-F1.A3;CALC-F1.A4	CALC-F1.A1;CALC-F1.A2;CALC-F1.A3;CALC-F1.A4	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001
CALC-R01	PASS	true	CALC-R01.EXACT-FINITE-MODEL	CALC-R01.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R02	PASS	true	CALC-R02.EXACT-FINITE-MODEL	CALC-R02.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R03	PASS	true	CALC-R03.EXACT-FINITE-MODEL	CALC-R03.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R04	PASS	true	CALC-R04.EXACT-FINITE-MODEL	CALC-R04.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R05	PASS	true	CALC-R05.EXACT-FINITE-MODEL	CALC-R05.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R06	PASS	true	CALC-R06.EXACT-FINITE-MODEL	CALC-R06.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R07	PASS	true	CALC-R07.EXACT-FINITE-MODEL	CALC-R07.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
