result_id	formal_spec	formal_statement_sha256	result_registry_statement_sha256	english_statement_sha256	portuguese_statement_sha256	english_proof	portuguese_proof	wolfram_function	python_function	proof_glob
CALC-F1	formal/specs/CALC-F1.json	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	216f646f5c3f3f6a747858381a8c7f826a244d17eab60fe24e2286c3bab9fc37	40ed87906fadfd4a9856769c8542d07475512f9800ea38618457edb8b7bb1ec5	f71f1574d6fbf1e5804a67164c5a26343ecf760a37fab8c09d1fd1240001b9a7	proofs/en/results/CALC-F1.tex	proofs/pt_BR/results/CALC-F1.tex	"RunSpecification[""CALC-F1""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-F1.*.json
CALC-R01	formal/specs/CALC-R01.json	1edd33e91dfb348e41d9dcc6da448f7c2af572fbb6cba0e9d24922e27a6d66cd	ca7b6fe649910867c4ebcec8be6fa04bbc9ec8c3f8961eb5d8a08612d6878b43	9667f773537888656346615cc1b6de283e9958fc6d804a823ebd96cfcefcce53	6df389f8624bf6a7c2bf90238896607e0c2b23638ac3542051db1ad6dfc5898c	proofs/en/results/CALC-R01.tex	proofs/pt_BR/results/CALC-R01.tex	"RunSpecification[""CALC-R01""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R01.*.json
CALC-R02	formal/specs/CALC-R02.json	2bea56a5e3744ebe39c01ed48c786776f2cf4b12cab5f6cbc6dcf3e0d641f58d	a2caa3560bf63297125b03d2013adea8a3473d30fff30e37040f6d6d0f32d0b7	3fa2d68bf74748265f14197fe07806106d77467e1e09263e85add5f7bccdb437	6924cb4ed4b6c3a02eae4c85c095a815f83098786dba749586fa27d614878b51	proofs/en/results/CALC-R02.tex	proofs/pt_BR/results/CALC-R02.tex	"RunSpecification[""CALC-R02""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R02.*.json
CALC-R03	formal/specs/CALC-R03.json	b4e629cca9e1dbf241d21d13afc7a6bffe2c0073a1f319c104a1e0ad9245e863	a35549fcc26c84707e6d18b7aa4e3b82ddd544a6cc0adb6b3173290faf1ce962	9a5fc7681ced3556a332ab8abdcbd60c430b0022007b25f9c580093493a1db71	85d3648ec7e2c72c51ac089581278c6e02afc29f48f2342bb62c390d37ccb30b	proofs/en/results/CALC-R03.tex	proofs/pt_BR/results/CALC-R03.tex	"RunSpecification[""CALC-R03""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R03.*.json
CALC-R04	formal/specs/CALC-R04.json	6a97553125a9f4a3c38dbb80e299703f1ace7f919e21bb19dd2b4f636c3a0100	189d5fff4b5fbdeed3b8ade8e5999d7246a711fcb61df80e9631497e3ce037ff	fa930ade936047c88e6a411aa2d4d0941bf65770cf43da5844a2129f0136ead0	0980b1274f7304a07ba6e66631af5914065948aaa68afc870f17217fd2ff1b14	proofs/en/results/CALC-R04.tex	proofs/pt_BR/results/CALC-R04.tex	"RunSpecification[""CALC-R04""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R04.*.json
CALC-R05	formal/specs/CALC-R05.json	2667bb63c33827f123f34e93224557ad08ed8282fff1b3c55cb5f831a58d0874	ab94447327f76ddc227bd3920e4ce9597f46e619909b439fdcab23c3a956f8ae	55280da4f7ae18019398b148e03e5930d5cc92e7040a658e9c3888cc61b1a7d0	ed2b114cfd4346a8c8403b4de6768cf869d48cbf4ae3c3c5578ca81741aa0beb	proofs/en/results/CALC-R05.tex	proofs/pt_BR/results/CALC-R05.tex	"RunSpecification[""CALC-R05""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R05.*.json
CALC-R06	formal/specs/CALC-R06.json	26c55ccdeee730941a66f403053564f7c22c93b943da53ee7913e92e74caa3ba	24fd4d48f9efd2c98af9c6c351004c611c23a43dcd12109d658cfe553edfdb7b	4788de5ba30310aff564247f711e05610598e294c727c4fd43969f5000dac768	d3c9aa97ff60574fdd419bdf2b8867a4d34d3d15c0e9f5f98925fb25597e2ad1	proofs/en/results/CALC-R06.tex	proofs/pt_BR/results/CALC-R06.tex	"RunSpecification[""CALC-R06""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R06.*.json
CALC-R07	formal/specs/CALC-R07.json	de1abcb39f7c26f26b2f4232bb7ac8d503b7a2bbb2722ecdd6671fa79bd7483e	57cf226fb2e23cee31f44bf6813dc64dd456138bcb0f9ce2463ac7b869715147	bc03d5e08dde84e226f6269ffbd00ac174618ac66215197e57172647de6bb63d	77521eaaa78dd7c362942983a2ea7c8fc480f76dafb49f5d72f137daa52db922	proofs/en/results/CALC-R07.tex	proofs/pt_BR/results/CALC-R07.tex	"RunSpecification[""CALC-R07""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R07.*.json
CALC-R08	formal/specs/CALC-R08.json	8856b18b8b5fb3251271ba82e509339fe55c5bff78c028f3917b174c569d4308	d3243564da21e744992a2b2f6c8287340e7d104c5167d41504e0a699e9518d05	3c10ed12a4f090edd1ab1622398672609fce8d83fc13d8e5638d9329fcbef01f	d890a8f847c6095ed14209a741e7f83f2bcd5cdd7ffda62d5519fd8a8e7dc8a4	proofs/en/results/CALC-R08.tex	proofs/pt_BR/results/CALC-R08.tex	"RunSpecification[""CALC-R08""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R08.*.json
CALC-R09	formal/specs/CALC-R09.json	1101537f92f0ab8c124b0151677f4e5c379d7288bed28b7342029e982d0b647c	ba5c1fe8be25b6981def4755e8b178564a33960e61764f9b217c97dfe7ff6add	9298b6ae0bd6fe390af72cf5da9db85aeeea64db76e74298bb209c537a1b6819	471b5dee2a8fdaf47eef07fb864a097c9ba0f69576a6088eaa3a259d396b24d6	proofs/en/results/CALC-R09.tex	proofs/pt_BR/results/CALC-R09.tex	"RunSpecification[""CALC-R09""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R09.*.json
