foundation_id	classification	formal_statement_sha256	formal_statement	proof_path	source_citation	downstream_result_ids	justification	withdrawal_effect
FOUND-LOGIC-001	software-semantic assumption	918530e19823f1b57edf8a26ed784e53ddcd380587ea2c7bdcf8f90bb700df24	"{""node"":""logic"",""system"":""classical first-order logic with equality""}"		standard logical semantics	CALC-F1;CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15;FIN-A1;FIN-A2;FIN-A3;FIN-A4;FIN-A5;FIN-A6;FIN-A7;MAX-G5	Supplies the object-language inference semantics checked by the finite proof kernel.	All logical proofs become uninterpretable.
FOUND-FINITE-001	derived foundation lemma	0662f37bb659d49ab5cab300d66d4d107fbf5de546938b7d69de6bbe710e3957	"{""arguments"":[{""node"":""finite_set_extensionality""},{""node"":""finite_sum_induction""},{""node"":""finite_map_extensionality""}],""node"":""conjunction""}"	formal/proofs/foundation/FOUND-FINITE-001.json	elementary finite mathematics	APP-BASIC;APP-MCC-COMP;APP-MCC-GRID;APP-MCC-LENGTH;CALC-F1;CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R13;CALC-R14;CALC-R15;CHG-B1;CHG-B10;CHG-B12;CHG-B13;CHG-B14;CHG-B2;CHG-B3;CHG-B5;CHG-B6;CHG-B7;CHG-B8;CHG-B9;DATA-EN-R1;DATA-PT-R1;DATA-ZH-R1;FIN-A1;FIN-A2;FIN-A3;FIN-A4;FIN-A5;FIN-A6;FIN-A7;MAX-G2;MAX-G6	Collects short reusable finite lemmas shared by the decision and carrier results.	Finite extensionality, enumeration, and carrier proofs fail.
FOUND-TERMINATION-001	derived foundation lemma	6dbcc2b011ae500619935da805fbaaa502a084d888bb333169a6b46f5bac2cd6	"{""condition"":""strict descent"",""domain"":""natural numbers"",""node"":""well_founded_descent""}"	formal/proofs/foundation/FOUND-TERMINATION-001.json	natural-number induction	CALC-F1;FIN-A5;FIN-A6	Closes explicit finite structural measures without trusting program termination by observation.	Termination proofs fail.
FOUND-PARTITION-001	derived foundation lemma	a35de646d5900615271611a6cc30f3bbeeb6dfcb318d805862cdc5b9e625b0a5	"{""domain"":""finite maps"",""node"":""kernel_partition_factorization""}"	formal/proofs/foundation/FOUND-PARTITION-001.json	kracht2003mathematicsLanguage	CALC-F1;FIN-A1;FIN-A2;FIN-A3;FIN-A4;FIN-A5;FIN-A6;FIN-A7	Supplies generic kernel, quotient, and factorization facts without importing phonological conclusions.	Finite carrier and quotient results fail.
FOUND-MARKOV-001	imported standard theorem	da865947d517d7f5735355bbeac7c8743bc893f5e80dcb85a3a203d4892a3070	"{""node"":""markov_postprocessing_data_processing"",""side_channels"":false}"		blackwell1951comparisonExperiments	FIN-A3;FIN-A5	Supplies the generic no-recovery result for a suffix that sees only the reduced state.	Stochastic postprocessing nonrecovery is withdrawn.
FOUND-REAL-001	axiom	e6438e754fe5803277d6687707d8be61815ee990e48e0f631525243ef5d609f3	"{""carrier"":""real numbers"",""node"":""complete_ordered_field""}"		standard real analysis	APP-BASIC;APP-MCC-COMP;APP-MCC-GRID;APP-MCC-LENGTH;CALC-R12;CHG-B1;CHG-B10;CHG-B11;CHG-B12;CHG-B13;CHG-B14;CHG-B15;CHG-B16;CHG-B2;CHG-B3;CHG-B4;CHG-B5;CHG-B6;CHG-B7;CHG-B8;CHG-B9;CTX-C1;CTX-C2;FLUX-D1;FLUX-D2;FLUX-D3;FLUX-D4;FLUX-D5;MAX-G1;MAX-G3;SEL-F1;SEL-F2;SUP-E1;SUP-E2;SUP-E3;SUP-E4	Supplies exact real arithmetic, completeness, and order used by analytic results.	Every theorem quantified over the real numbers is withdrawn.
FOUND-CONVEX-001	derived foundation lemma	b39d75d2beabe456461d4ecdb057ed917f0d87748dd8f01069ef64d26d90c5de	"{""conditions"":[""convex domain"",""attained minimum"",""strictly convex objective""],""node"":""strict_convexity_unique_minimizer""}"	formal/proofs/foundation/FOUND-CONVEX-001.json	nocedalWright1999numerical	CHG-B1;CHG-B10;CHG-B11;CHG-B12;CHG-B15;CHG-B2;CHG-B3;CHG-B4;CHG-B5;CHG-B9;CTX-C1;CTX-C2;SUP-E1;SUP-E2;SUP-E3;SUP-E4	Separates generic uniqueness from family-specific convexity and KKT proofs.	Optimizer uniqueness conclusions fail unless reproved locally.
FOUND-KKT-001	imported standard theorem	938504e7495aef52119e6fb4d87681d0418e242027e42930afc5258883c0d21d	"{""conditions"":[""convex differentiable objective"",""convex constraints"",""constraint qualification"",""primal feasibility"",""dual feasibility"",""stationarity"",""complementary slackness""],""node"":""convex_kkt_global_optimality""}"		nocedalWright1999numerical	CHG-B10;CHG-B2;CHG-B3;CHG-B9;CTX-C1;CTX-C2;SUP-E2;SUP-E3;SUP-E4	Supplies only generic convex KKT sufficiency; every project instance must prove each premise exactly.	KKT-based global optimality claims are withdrawn.
FOUND-LIMIT-001	imported standard theorem	8138429fcfe8ef6b6d89cc9a4185c8cacdc7a13881704dd65668bc198b60d3cf	"{""conditions"":[""declared side"",""declared domain"",""nonzero denominators"",""explicit remainder""],""node"":""real_limit_algebra""}"		standard real analysis	CALC-R12;CHG-B10;CHG-B11;CHG-B12;CHG-B13;CHG-B14;CHG-B15;CHG-B16;CHG-B2;CHG-B4;CHG-B7;CHG-B9;FLUX-D1;FLUX-D2;FLUX-D3;FLUX-D4;FLUX-D5;SUP-E1;SUP-E2;SUP-E3;SUP-E4	Supplies generic limit algebra while leaving all project asymptotic identities and bounds replayable.	Limit and asymptotic conclusions are withdrawn.
FOUND-ANALYTIC-001	imported standard theorem	6fb46187d0fb3c769ec374fd2bcf784f7ed28138e901de397e0424a158fb6b7a	"{""conditions"":[""real analytic on connected open domain"",""interior accumulating zeros""],""node"":""analytic_identity_and_rolle""}"		standard real analysis	FLUX-D1;FLUX-D2;FLUX-D3;FLUX-D4;FLUX-D5	Supplies the generic analytic identity and Rolle principles used in tomography and zero counts.	Analytic tomography and zero-count consequences are withdrawn.
FOUND-LINEAR-001	derived foundation lemma	89ee460d08d8bae60855e2d26116f6e7077e4abd3cc1dca5d58ec151c9b48694	"{""domain"":""finite rational matrices"",""node"":""rank_nullity""}"	formal/proofs/foundation/FOUND-LINEAR-001.json	standard finite-dimensional linear algebra	FLUX-D1;FLUX-D2;FLUX-D3;FLUX-D4;FLUX-D5;MAX-G7;SEL-F1;SEL-F2	Supplies exact rational rank and nullity identities checked by elimination.	Finite nullspace and ledger nonidentification results fail.
FOUND-MEASURE-001	imported standard theorem	8e9f0543de5e9fa9971941be35a2559675011cc9b213b227f6b17afea2e3c581	"{""conditions"":[""nonempty open patch"",""admitted radial law positive on shell""],""node"":""positive_measure_open_spherical_patch""}"		standard geometric measure theory	SEL-F1;SEL-F2	Bridges exact open-region witnesses to positive selected-output probability under declared laws.	Positive-probability selected-output conclusions are withdrawn.
FOUND-CONVEX-HULL-001	derived foundation lemma	d281b54074552434d89c0b04459c5be57a343539e48895aa4641a3620bbcc5bd	"{""domain"":""finite point sets"",""node"":""positive_barycentric_relative_interior""}"	formal/proofs/foundation/FOUND-CONVEX-HULL-001.json	standard finite-dimensional convex geometry	MAX-G9;SEL-F1;SEL-F2	Supplies the exact image of strictly positive barycentric coefficients on a nonempty finite point list, including redundant and duplicate listed points.	MAX-G9 loses the identification of each arbitrary-positive-mass response fibre with the relative interior of its row convex hull.
FOUND-POLYNOMIAL-001	derived foundation lemma	c017a0589acfbe5ffac8e1d4001773b32254c7d569e7faedb3980c17b15ffb86	"{""coefficient_field"":""rationals"",""node"":""sparse_polynomial_extensionality""}"	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	elementary polynomial algebra	MAX-G1;MAX-G2;MAX-G3;MAX-G6;MAX-G7	Connects normalized coefficient-map equality with exact polynomial identity.	Polynomial, Laurent-clearing, and ideal proofs fail.
FOUND-EXP-ACTIVITY-BIJECTION-001	derived foundation lemma	3aff16b4670ea8d3ee6b9f547686e0ae5eeabcfffc474f8ae57c652b02338502	"{""bindings"":[{""sort"":""natural number"",""variable"":""k""}],""body"":{""arguments"":[{""arguments"":[{""arguments"":[{""name"":""k"",""node"":""variable""}],""name"":""nonnegative_real_orthant"",""node"":""function_application""}],""name"":""componentwise_exp_neg"",""node"":""function_application""},{""arguments"":[{""name"":""k"",""node"":""variable""}],""name"":""physical_activity_cube"",""node"":""function_application""}],""name"":""bijection"",""node"":""predicate_application""},""node"":""forall""}"	formal/proofs/foundation/FOUND-EXP-ACTIVITY-BIJECTION-001.json	standard real exponential and logarithm order-isomorphism	MAX-G1	The componentwise substitution z_i=exp(-w_i) is an order-preserving exact change of variables from nonnegative weights to the physical activity carrier (0,1]^k; the local derivation uses positivity, strict monotonicity, and the real logarithm inverse.	MAX-G1 loses its exact carrier substitution, and every downstream activity-polynomial theorem must be stated directly in weight coordinates.
FOUND-COMPACT-POLY-MIN-001	imported standard theorem	b4194eb72237f5f1be049bf1206c623baae21935c94b7dbc04505a40df80fb8c	"{""bindings"":[{""sort"":""natural number"",""variable"":""N""},{""sort"":""natural number"",""variable"":""H""},{""sort"":""SparsePolynomial"",""variable"":""P""}],""body"":{""antecedent"":{""arguments"":[{""left"":{""name"":""N"",""node"":""variable""},""node"":""greater_equal"",""right"":{""node"":""integer"",""value"":2}},{""left"":{""name"":""H"",""node"":""variable""},""node"":""greater_equal"",""right"":{""arguments"":[{""node"":""integer"",""value"":6},{""name"":""N"",""node"":""variable""}],""node"":""multiply""}},{""arguments"":[{""name"":""P"",""node"":""variable""},{""name"":""N"",""node"":""variable""},{""node"":""integer"",""value"":4},{""name"":""H"",""node"":""variable""}],""name"":""integer_polynomial_in_dimension_degree_height_at_most"",""node"":""predicate_application""},{""bindings"":[{""sort"":""vector"",""variable"":""u""}],""body"":{""antecedent"":{""arguments"":[{""name"":""u"",""node"":""variable""},{""arguments"":[{""name"":""N"",""node"":""variable""}],""name"":""closed_unit_cube"",""node"":""function_application""}],""name"":""builtin:member"",""node"":""predicate_application""},""consequent"":{""left"":{""arguments"":[{""name"":""P"",""node"":""variable""},{""name"":""u"",""node"":""variable""}],""name"":""evaluate_sparse_polynomial"",""node"":""function_application""},""node"":""greater"",""right"":{""denominator"":1,""node"":""rational"",""numerator"":0}},""node"":""implies""},""node"":""forall""}],""node"":""and""},""consequent"":{""bindings"":[{""sort"":""vector"",""variable"":""u""}],""body"":{""antecedent"":{""arguments"":[{""name"":""u"",""node"":""variable""},{""arguments"":[{""name"":""N"",""node"":""variable""}],""name"":""closed_unit_cube"",""node"":""function_application""}],""name"":""builtin:member"",""node"":""predicate_application""},""consequent"":{""left"":{""arguments"":[{""name"":""P"",""node"":""variable""},{""name"":""u"",""node"":""variable""}],""name"":""evaluate_sparse_polynomial"",""node"":""function_application""},""node"":""greater_equal"",""right"":{""base"":{""node"":""integer"",""value"":2},""exponent"":{""argument"":{""arguments"":[{""name"":""N"",""node"":""variable""},{""base"":{""node"":""integer"",""value"":8},""exponent"":{""name"":""N"",""node"":""variable""},""node"":""power""},{""arguments"":[{""node"":""integer"",""value"":4},{""arguments"":[{""node"":""integer"",""value"":2},{""name"":""N"",""node"":""variable""}],""node"":""multiply""},{""arguments"":[{""name"":""H"",""node"":""variable""}],""name"":""integer_ceiling_log2"",""node"":""function_application""}],""node"":""add""}],""node"":""multiply""},""node"":""negate""},""node"":""power""}},""node"":""implies""},""node"":""forall""},""node"":""implies""},""node"":""forall""}"		jeronimoPerrucciTsigaridas2013minimumPolynomialBasicClosedSemialgebraicSet, Theorem 1, pp. 1-2, specialized to [0,1]^N with d=4 and 2N defining inequalities	MAX-G3	Owns only the explicit nonzero lower bound for an integer quartic on the compact connected unit cube. The residual construction, contraction-chain perturbation estimate, strictifier, deterministic one-hot tag lift, and MaxEnt compiler remain project-specific kernel-checked steps.	MAX-G3 retains its deterministic structural compiler and finite row and object-size bounds, but loses the source-unsatisfiability-to-universal-order semantic equivalence that uses the explicit compact-minimum guarantee.
FOUND-COMPLEXITY-ETRINV-001	imported standard theorem	4fdc1e20bd7daf856b68880a1ddd668624368ab5b8e9ba634f29729195419185	"{""arguments"":[{""arguments"":[{""denominator"":2,""node"":""rational"",""numerator"":1},{""denominator"":1,""node"":""rational"",""numerator"":2}],""name"":""bounded_etr_inv_satisfiability_problem"",""node"":""function_application""},{""arguments"":[""exists-real""],""name"":""complexity_class"",""node"":""function_application""},{""arguments"":[""polynomial-time-many-one""],""name"":""reduction_type"",""node"":""function_application""}],""name"":""complete_problem"",""node"":""predicate_application""}"		abrahamsenAdamaszekMiltzow2022artGalleryExistentialReals, Definition 14 and Theorem 16		Records conventional complexity ancestry for bounded ETR-INV. The current MAX-G3 compiler theorem does not depend on this classification and makes no universal-real membership, hardness, or completeness claim.	Withdrawal has no effect on the registered exact MAX-G3 compiler theorem; it blocks only any separate future conventional-class interpretation of that compiler.
FOUND-COMPLEXITY-3SAT-001	imported standard theorem	a06167835fd747e79a23abd4f72cf0689d31680243441e6e0bb5cc30329ca553	"{""arguments"":[{""arguments"":[{""node"":""integer"",""value"":2},{""arguments"":[],""name"":""no_repeated_variable_or_tautological_clause"",""node"":""predicate_application""}],""name"":""proper_at_most_three_cnf_satisfiability_problem"",""node"":""function_application""},{""arguments"":[""NP""],""name"":""complexity_class"",""node"":""function_application""},{""arguments"":[""polynomial-time-many-one""],""name"":""reduction_type"",""node"":""function_application""}],""name"":""complete_problem"",""node"":""predicate_application""}"		karp1972reducibilityCombinatorialProblems;gareyJohnsonStockmeyer1976simplifiedNPCompleteGraphProblems; standard clause cleanup preserving polynomial size		Records conventional complexity ancestry for proper at-most-three-CNF after declared polynomial preprocessing. The current MAX-G4 exact selector bridge and local list-cost bounds are independent of this classification; a conventional class conclusion is registered only through ExecutableCNFConventionalBoundary.	MAX-G4 retains its exact selector-compiler equivalence and local charge bounds. Withdrawal blocks any conventional coNP conclusion unless the required source-class premise is supplied independently through ExecutableCNFConventionalBoundary.
FOUND-EXPONENTIAL-INDEPENDENCE-001	imported standard theorem	74b164700ab1d1498eaad8fe19c2efecfee2144ac4ea3e9433276ab89badb111	"{""bindings"":[{""sort"":""finite sequence"",""variable"":""Lambda""},{""sort"":""vector"",""variable"":""coefficients""},{""sort"":""finite set"",""variable"":""U""}],""body"":{""antecedent"":{""arguments"":[{""arguments"":[{""name"":""Lambda"",""node"":""variable""}],""name"":""distinct_real_vectors"",""node"":""predicate_application""},{""left"":{""arguments"":[{""name"":""Lambda"",""node"":""variable""}],""name"":""length"",""node"":""function_application""},""node"":""equal"",""right"":{""arguments"":[{""name"":""coefficients"",""node"":""variable""}],""name"":""length"",""node"":""function_application""}},{""arguments"":[{""name"":""U"",""node"":""variable""}],""name"":""nonempty_open_set"",""node"":""predicate_application""}],""node"":""and""},""consequent"":{""left"":{""bindings"":[{""sort"":""vector"",""variable"":""w""}],""body"":{""antecedent"":{""arguments"":[{""name"":""w"",""node"":""variable""},{""name"":""U"",""node"":""variable""}],""name"":""builtin:member"",""node"":""predicate_application""},""consequent"":{""left"":{""arguments"":[{""name"":""coefficients"",""node"":""variable""},{""name"":""Lambda"",""node"":""variable""},{""name"":""w"",""node"":""variable""}],""name"":""finite_exponential_sum_value"",""node"":""function_application""},""node"":""equal"",""right"":{""denominator"":1,""node"":""rational"",""numerator"":0}},""node"":""implies""},""node"":""forall""},""node"":""iff"",""right"":{""left"":{""name"":""coefficients"",""node"":""variable""},""node"":""equal"",""right"":{""arguments"":[{""arguments"":[{""name"":""coefficients"",""node"":""variable""}],""name"":""length"",""node"":""function_application""}],""name"":""zero_vector"",""node"":""function_application""}}},""node"":""implies""},""node"":""forall""}"		standard finite exponential-polynomial linear independence theorem	MAX-G4	Supplies only linear independence of finitely many distinct real exponential characters on a nonempty open set; collection by identical relative rows and all multiplicity-sensitive coefficient bookkeeping are checked locally.	The cross-input equality cell of MAX-G4 and the coefficient-annihilation step of MAX-G7 lose their global converse directions.
