equation_label	source_file	lean_declarations	status	scope_note
eq:app-grid	proofs/shared/equations/applications.tex	PhonologicalCalculus.Application.app_mcc_grid	registered_fixture_checked	Exact continuum and tenths-grid winners and their nonidentity are proved.
eq:app-kazakh	proofs/shared/equations/applications.tex	PhonologicalCalculus.Application.mccollum_profile_5_1	registered_fixture_checked	The printed Kazakh rational profile is computed exactly.
eq:app-uyghur	proofs/shared/equations/applications.tex	PhonologicalCalculus.Application.mccollum_profile_20_3	registered_fixture_checked	The printed Uyghur rational profile is computed exactly.
eq:app-basic	proofs/shared/equations/applications.tex	PhonologicalCalculus.Application.app_basic_reuse	registered_fixture_checked	The registered 105 plus 16 inventory decomposition is checked.
eq:calc-preservation	proofs/shared/equations/calc.tex	PhonologicalCalculus.FiniteRequest.evaluate_eq_conservative_iff	theorem_checked	Exact transported-answer equality is equivalent to the conservative verdict for an admitted finite request.
eq:calc-witness-set	proofs/shared/equations/calc.tex	PhonologicalCalculus.FiniteRequest.mem_mismatchSet_iff	theorem_checked	Membership in the complete mismatch set is exactly transported-answer inequality.
eq:calc-r01	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R01_PARTITION_01	registered_fixture_checked	The three-point partition fixture is evaluated exactly.
eq:calc-r02	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R02_COIMAGE_01	registered_fixture_checked	The optimizer kernel and reachable-image quotient fixture are exact.
eq:calc-r04	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R04_SURJECTIVITY_01	registered_fixture_checked	The displayed image and missing target class are exact.
eq:calc-r11	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R11_FIBRE_01	registered_fixture_checked	The rational fibre pushforward sums exactly to one.
eq:calc-r12	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R12_SERIES_01	registered_fixture_checked	The stopped geometric law and its unit total mass are proved.
eq:calc-r14	proofs/shared/equations/calc.tex	PhonologicalCalculus.Regression.CALC_R14_BELL_01	registered_fixture_checked	The Bell-number product is computed from Mathlib's definition.
eq:chg-objective	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.pathHarmony	definition_checked	The finite directional path objective is represented by the checked Lean definition.
eq:chg-simplex	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.solidSimplex_profile_equivalence	theorem_checked	The profile-to-nonnegative-decrease simplex correspondence is proved.
eq:chg-reduced	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.powerReducedObjective	definition_checked	The reduced weighted power objective is represented by the checked Lean definition.
eq:chg-first-zero	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.generalPowerFirstZeroCell_iff_shiftedSum	theorem_checked	The exact least shifted-power threshold characterization is proved.
eq:chg-kkt	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.powerKKTDecrease_unique_minimizer	theorem_checked	The positive-part KKT decrease vector is proved to be the unique optimizer under its declared hypotheses.
eq:chg-powered-gap	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.normalizedProfileLoss_powered_gap	theorem_checked	The normalized profile satisfies the exact powered-gap law.
eq:chg-quadratic-support	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.quadraticPositiveFollowerCount_iff_phaseCell	theorem_checked	The strict quadratic support cell including its equality boundary is proved.
eq:chg-grid-boundary	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.chg_b6_allBack_weak_iff	theorem_checked	The exact weak all-back lattice-winner boundary is proved.
eq:chg-phase-cell	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.generalPowerRatioPhaseCell_iff_threshold	theorem_checked	The exact two-sided ratio phase cell is proved.
eq:chg-profile	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.powerProfileFromDecreases_eq_normalizedPhaseProfile	theorem_checked	The optimizer reconstructed from KKT decreases equals the normalized shifted-power profile.
eq:chg-scaling-profile	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.chg_b13_uniform_long_support_scaling	theorem_checked	The displayed limiting profile and density are part of the uniform scaling theorem.
eq:chg-onset	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.chg_b14_complete_ratio_onset_and_optimizer	theorem_checked	The support-birth threshold and the subquadratic versus quadratic-or-harder onset orders are proved.
eq:chg-linear-limit	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.chg_b15_full_vector_optimizer_boundary_law	theorem_checked	The full-vector p-down-to-one boundary and variational selector are proved at the declared finite-horizon scope.
eq:chg-hard-limit	proofs/shared/equations/chg.tex	PhonologicalCalculus.ContinuousHG.chg_b16_unconditional_actual_hard_exponent_law	theorem_checked	Eventual two-support and the logarithmic follower asymptotic are proved for the canonical multiplier path.
eq:ctx-two-trigger	proofs/shared/equations/context.tex	PhonologicalCalculus.Context.absoluteIntervalPathHarmony	definition_checked	The two-endpoint absolute-power path objective is represented by the checked Lean definition.
eq:ctx-phase	proofs/shared/equations/context.tex	PhonologicalCalculus.Context.phaseShiftedPowerSum_eq_context	theorem_checked	The one-trigger phase mass is transported exactly into the context construction.
eq:ctx-support-law	proofs/shared/equations/context.tex	PhonologicalCalculus.Context.ctx_c1_general_04_analytic	theorem_checked	The critical-span support regimes and phase-bit boundary are proved for actual optimizers.
eq:data-portuguese	proofs/shared/equations/data.tex	PhonologicalCalculus.Demonstration.data_pt_r1_replay	finite_replay_checked	Exact arithmetic over the embedded ledger transcription only; no acoustics, provenance, or population inference is proved.
eq:data-english	proofs/shared/equations/data.tex	PhonologicalCalculus.Demonstration.data_en_r1_replay	finite_replay_checked	Exact arithmetic over the embedded aggregate and speaker-scenario transcriptions only; no acoustics, provenance, or all-accent inference is proved.
eq:data-mandarin	proofs/shared/equations/data.tex	PhonologicalCalculus.Demonstration.data_zh_r1_replay	finite_replay_checked	Exact arithmetic over the embedded scope-decision transcription only; no acoustic or unique-theory claim is proved.
eq:fin-orbit-collision	proofs/shared/equations/fin.tex	PhonologicalCalculus.mem_collisionSet_iff	theorem_checked	The finite collision carrier has exactly the displayed unequal-equal-image membership condition.
eq:fin-product-query	proofs/shared/equations/fin.tex	PhonologicalCalculus.productQuery_kernel_exact	theorem_checked	The dependent product query has exactly the intersection of component kernels.
eq:fin-factor	proofs/shared/equations/fin.tex	PhonologicalCalculus.kernelRefines_productQuery_iff	theorem_checked	Reachable factorization through the reduction is equivalent to the product-kernel refinement condition.
eq:fin-price	proofs/shared/equations/fin.tex	PhonologicalCalculus.blockwiseAddedConsumerPrice_eq	theorem_checked	The added-consumer carrier price equals the sum of within-block image increments.
eq:fin-lattice	proofs/shared/equations/fin.tex	PhonologicalCalculus.productQuery_kernel_exact	theorem_checked	Adding consumer families intersects their exact query kernels.
eq:fin-symbolic-bridge	proofs/shared/equations/fin.tex	PhonologicalCalculus.fin_a2_coherence_03	registered_fixture_checked	The registered symbolic action bridge commutes on the reachable target image.
eq:flux-shift	proofs/shared/equations/flux.tex	PhonologicalCalculus.Flux.shiftEquivariant_iff_periodic_deviation	theorem_checked	Shift equivariance is proved equivalent to identity plus a periodic deviation.
eq:flux-periodic-family	proofs/shared/equations/flux.tex	PhonologicalCalculus.Flux.periodicFluxGauge_strictMono	theorem_checked	The displayed sinusoidal gauge is strictly increasing under the declared amplitude bound and is shift equivariant in its companion theorem.
eq:flux-ledger-nullspace	proofs/shared/equations/flux.tex	PhonologicalCalculus.Flux.finiteLedger_exists_nonzero_nullVector	theorem_checked	Every finite underdetermined audit matrix has a nonzero null direction.
eq:flux-contact-response	proofs/shared/equations/flux.tex	PhonologicalCalculus.Flux.flux_d4_complete_with_canonical_lambert	theorem_checked	The canonical Lambert-W contact-response asymptotic is proved at the narrowed registered-remainder scope.
eq:flux-tomography	proofs/shared/equations/flux.tex	PhonologicalCalculus.Flux.terminalKKT_accumulatingResponse_identifies	theorem_checked	Finite-ledger nonidentification and accumulating exact-response identification are separated by the checked tomography package.
eq:maxent-law	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.activityProbability_eq_exponentialProbability	theorem_checked	The activity-coordinate rational law is proved equal to the exponential-weight MaxEnt law.
eq:maxent-fibre	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.fibreMass	definition_checked	Candidate multiplicity and base mass remain explicit in the checked fibre and partition sums.
eq:maxent-cross-product	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.normalized_order_iff_cross_product	theorem_checked	Positive-denominator normalized order is exactly the cleared cross-product inequality.
eq:maxent-strictifier	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.max_g3_strictifierPolynomial_complete	theorem_checked	The quartic strictifier evaluation, degree, coefficient, and strict-witness package is proved relative to its explicit compact-gap hypothesis.
eq:maxent-tag-lift	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.CollectedSignedQuarticCode.taggedResidualMonomial_factorization	theorem_checked	The semantic one-hot tag lift factorizes each signed residual monomial exactly.
eq:maxent-selector	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.properCNFSelectorMargin_eq_polynomial	theorem_checked	The proper-CNF selector table margin equals the displayed selector polynomial.
