implication_id	antecedent_status	transport_status	facet
BS-001	empty	vacuous_categorical_truth	not_applicable
BS-002	empty	vacuous_categorical_truth	not_applicable
BS-003	empty	vacuous_categorical_truth	not_applicable
BS-004	empty	vacuous_categorical_truth	not_applicable
BS-005	empty	vacuous_categorical_truth	not_applicable
BS-006	empty	vacuous_categorical_truth	not_applicable
BS-007	empty	vacuous_categorical_truth	not_applicable
BS-008	empty	vacuous_categorical_truth	not_applicable
BS-009	empty	vacuous_categorical_truth	not_applicable
BS-010	empty	vacuous_categorical_truth	not_applicable
BS-011	empty	vacuous_categorical_truth	not_applicable
BS-012	empty	vacuous_categorical_truth	not_applicable
BS-013	empty	vacuous_categorical_truth	not_applicable
BS-014	empty	vacuous_categorical_truth	not_applicable
BS-015	empty	vacuous_categorical_truth	not_applicable
BS-016	empty	vacuous_categorical_truth	not_applicable
BS-017	empty	vacuous_categorical_truth	not_applicable
BS-018	empty	vacuous_categorical_truth	not_applicable
BS-019	empty	vacuous_categorical_truth	not_applicable
BS-020	empty	vacuous_categorical_truth	not_applicable
BS-021	empty	vacuous_categorical_truth	not_applicable
BS-022	empty	vacuous_categorical_truth	not_applicable
BS-023	empty	vacuous_categorical_truth	not_applicable
BS-024	empty	vacuous_categorical_truth	not_applicable
BS-025	empty	vacuous_categorical_truth	not_applicable
BS-026	empty	vacuous_categorical_truth	not_applicable
BS-027	empty	vacuous_categorical_truth	not_applicable
BS-028	empty	vacuous_categorical_truth	not_applicable
BS-029	empty	vacuous_categorical_truth	not_applicable
BS-030	empty	vacuous_categorical_truth	not_applicable
BS-031	empty	vacuous_categorical_truth	not_applicable
BS-032	empty	vacuous_categorical_truth	not_applicable
BS-033	empty	vacuous_categorical_truth	not_applicable
BS-034	empty	vacuous_categorical_truth	not_applicable
BS-035	empty	vacuous_categorical_truth	not_applicable
BS-036	empty	vacuous_categorical_truth	not_applicable
BS-037	empty	vacuous_categorical_truth	not_applicable
BS-038	empty	vacuous_categorical_truth	not_applicable
BS-039	empty	vacuous_categorical_truth	not_applicable
BS-040	empty	vacuous_categorical_truth	not_applicable
BS-041	empty	vacuous_categorical_truth	not_applicable
BS-042	empty	vacuous_categorical_truth	not_applicable
BS-043	empty	vacuous_categorical_truth	not_applicable
BS-044	empty	vacuous_categorical_truth	not_applicable
BS-045	empty	vacuous_categorical_truth	not_applicable
BS-046	empty	vacuous_categorical_truth	not_applicable
BS-047	empty	vacuous_categorical_truth	not_applicable
BS-048	empty	vacuous_categorical_truth	not_applicable
BS-049	empty	vacuous_categorical_truth	not_applicable
BS-050	empty	vacuous_categorical_truth	not_applicable
BS-051	empty	vacuous_categorical_truth	not_applicable
BS-052	empty	vacuous_categorical_truth	not_applicable
BS-053	empty	vacuous_categorical_truth	not_applicable
BS-054	empty	vacuous_categorical_truth	not_applicable
BS-055	empty	vacuous_categorical_truth	not_applicable
BS-056	empty	vacuous_categorical_truth	not_applicable
BS-057	empty	vacuous_categorical_truth	not_applicable
BS-058	empty	vacuous_categorical_truth	not_applicable
BS-059	empty	vacuous_categorical_truth	not_applicable
BS-060	empty	vacuous_categorical_truth	not_applicable
BS-061	empty	vacuous_categorical_truth	not_applicable
BS-062	empty	vacuous_categorical_truth	not_applicable
BS-063	empty	vacuous_categorical_truth	not_applicable
BS-064	empty	vacuous_categorical_truth	not_applicable
BS-065	empty	vacuous_categorical_truth	not_applicable
BS-066	empty	vacuous_categorical_truth	not_applicable
BS-067	empty	vacuous_categorical_truth	not_applicable
BS-068	empty	vacuous_categorical_truth	not_applicable
BS-069	empty	vacuous_categorical_truth	not_applicable
BS-070	empty	vacuous_categorical_truth	not_applicable
BS-071	empty	vacuous_categorical_truth	not_applicable
BS-072	empty	vacuous_categorical_truth	not_applicable
BS-073	empty	vacuous_categorical_truth	not_applicable
BS-074	empty	vacuous_categorical_truth	not_applicable
BS-075	empty	vacuous_categorical_truth	not_applicable
BS-076	empty	vacuous_categorical_truth	not_applicable
BS-077	empty	vacuous_categorical_truth	not_applicable
BS-078	empty	vacuous_categorical_truth	not_applicable
BS-079	empty	vacuous_categorical_truth	not_applicable
BS-080	empty	vacuous_categorical_truth	not_applicable
BS-081	empty	vacuous_categorical_truth	not_applicable
BS-082	empty	vacuous_categorical_truth	not_applicable
BS-083	empty	vacuous_categorical_truth	not_applicable
BS-084	empty	vacuous_categorical_truth	not_applicable
BS-085	empty	vacuous_categorical_truth	not_applicable
BS-086	empty	vacuous_categorical_truth	not_applicable
BS-087	empty	vacuous_categorical_truth	not_applicable
BS-088	empty	vacuous_categorical_truth	not_applicable
BS-089	empty	vacuous_categorical_truth	not_applicable
BS-090	empty	vacuous_categorical_truth	not_applicable
BS-091	empty	vacuous_categorical_truth	not_applicable
BS-092	empty	vacuous_categorical_truth	not_applicable
BS-093	empty	vacuous_categorical_truth	not_applicable
BS-094	empty	vacuous_categorical_truth	not_applicable
BS-095	empty	vacuous_categorical_truth	not_applicable
BS-096	empty	vacuous_categorical_truth	not_applicable
BS-097	empty	vacuous_categorical_truth	not_applicable
BS-098	empty	vacuous_categorical_truth	not_applicable
BS-099	empty	vacuous_categorical_truth	not_applicable
BS-100	empty	vacuous_categorical_truth	not_applicable
BS-101	empty	vacuous_categorical_truth	not_applicable
BS-102	empty	vacuous_categorical_truth	not_applicable
BS-103	empty	vacuous_categorical_truth	not_applicable
BS-104	empty	vacuous_categorical_truth	not_applicable
BS-105	empty	vacuous_categorical_truth	not_applicable
BS-106	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-107	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-108	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-109	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-110	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-111	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-112	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-113	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-114	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-115	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-116	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-117	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-118	nonempty	live_probability_order	wDep<=2wOnset+wMax
BS-119	nonempty	live_probability_order	wMax<=2wNoCoda+wDep
BS-120	nonempty	live_probability_order	wDep<=2wOnset+wMax
