check_id	check_type	result_id	formal_statement_sha256	english_statement_sha256	portuguese_statement_sha256	english_statement_file_sha256	portuguese_statement_file_sha256	checks	status
APP-BASIC.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	APP-BASIC	14c3f3c79200ded31c7f33dd7dec214994a854463aedb67ba01d12fc8dfa912f	87d051da4f811e494371d321a7e84fe9a2268dd4b8e596528687a11c33466a50	e2a335feb291cd4f30809651c0f2b3ebbfc0cc389f15ea32420433ba4a5ffe10	0f5ba49adfd9aa1a45f0b46b188bca208db1fbbc5343acc6b9dc66f05d491d71	227520052d4534b91acf4d32c104f4752e0beb36f1d274b59a32e8f34989bf58	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
APP-MCC-COMP.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	APP-MCC-COMP	f796d0bb669392ebfeca06ca2fd90c4974d048417fb9154e496855eece25d87e	b3ebff85741d8850f3c9f6761954d58afba0b9afcaaa1e6283a1565fbc21d666	b97ded68851ff9ce3ac824f72fb1d7597ce56df8189ccef3c10afbd008c9ac32	9cfb08b8a7d224df52fdedb18635f982ccae6a4b4a89288621aed56f2366e1b6	7da1e94fcf248a8950759db44d976d85aaf7ead8a955a373609cf813e92d0be6	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
APP-MCC-GRID.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	APP-MCC-GRID	f019672b48a6274c318e071b932758ce3fcc6e267c2ca55354bd0be2f0889893	b576a7a9acec218f0fd54a354376afdc591810d3f16453652f37c4c44be04742	bb25cf4eca94da5250d2917f5efc4b9313d7801221eed1d475fef81b0fad8807	3b432d6f49423d32ea307cdc4a4c9a5f8c2235f8598aec2339416d5f2ec9cf06	8b7e0f999e04a913c3200ecf1d0026d8ed7eb3430ca287badb44cdabe9b2fe42	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
APP-MCC-LENGTH.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	APP-MCC-LENGTH	b32a629b1c0b6eebb7793055a673c171ac067c583193e1dd3c9ce87d0df4894f	2da565ed3f0cd45e17f1dc46b3640b4fb1572dad2eac6c4a5d3ab484bcea9a54	e597953d5cdd07ef07ef3cb84390e0e7f71f03035f404a42ca3612957cab697b	4b7b5a53f9077b4203597a1da2448aaf0b49df09b8718ac14736542cf762e5cb	92b9477dd86606a8c547df05ffb212e61c78ee16a2b8c3fa3374694be44333d2	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-F1.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-F1	14564da8100357eeb05a513662f0a987f19f3192ff9fec474eee1f87123a4cca	40ed87906fadfd4a9856769c8542d07475512f9800ea38618457edb8b7bb1ec5	f71f1574d6fbf1e5804a67164c5a26343ecf760a37fab8c09d1fd1240001b9a7	872ba42b7482c0ccf5526344851613b3ddeb3c76e1d18fc5fde5e8ed81096801	9ae3cdb7f989f7c1c1ed267d00c7662dd687849eba90d8e8682eeca7ebbd6ec9	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-R01.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-R01	1edd33e91dfb348e41d9dcc6da448f7c2af572fbb6cba0e9d24922e27a6d66cd	9667f773537888656346615cc1b6de283e9958fc6d804a823ebd96cfcefcce53	6df389f8624bf6a7c2bf90238896607e0c2b23638ac3542051db1ad6dfc5898c	43ddcb1f062f4338292eaccf439215dc2fe924ade07f4220fc985e90a6d2abe7	e058b90476f1a1fd1e33caec44183dc1033ba0442d40f2337a03572f6862d6c2	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-R02.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-R02	2bea56a5e3744ebe39c01ed48c786776f2cf4b12cab5f6cbc6dcf3e0d641f58d	3fa2d68bf74748265f14197fe07806106d77467e1e09263e85add5f7bccdb437	6924cb4ed4b6c3a02eae4c85c095a815f83098786dba749586fa27d614878b51	e34b73e6e74f58928d9073c75153e273da8342a5b1ea3b77d653305a19a94a37	218be1723d89f8ad91e3fc416740376699f1a92068c770f5e4768a7125796daf	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-R03.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-R03	b4e629cca9e1dbf241d21d13afc7a6bffe2c0073a1f319c104a1e0ad9245e863	9a5fc7681ced3556a332ab8abdcbd60c430b0022007b25f9c580093493a1db71	85d3648ec7e2c72c51ac089581278c6e02afc29f48f2342bb62c390d37ccb30b	0137190f9bd19c09272d800b32ac475efef60a8632243d6a83a70d3fc8a929e3	c0bb68fc063e09c0cd7dfa276ccaf648da241570c23519a7f1de428719a7717f	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-R04.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-R04	6a97553125a9f4a3c38dbb80e299703f1ace7f919e21bb19dd2b4f636c3a0100	fa930ade936047c88e6a411aa2d4d0941bf65770cf43da5844a2129f0136ead0	0980b1274f7304a07ba6e66631af5914065948aaa68afc870f17217fd2ff1b14	e47232ab4f3c90b3d67031815c4fe193065dcedd69ede11172c2b1033020cdce	73fec77416771dfd388ca647165fb664b71ef93db5640ae06d2d5142bbbd6fee	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
CALC-R05.STATEMENT-CORRESPONDENCE.CHECK	StatementCorrespondenceCheck	CALC-R05	2667bb63c33827f123f34e93224557ad08ed8282fff1b3c55cb5f831a58d0874	55280da4f7ae18019398b148e03e5930d5cc92e7040a658e9c3888cc61b1a7d0	ed2b114cfd4346a8c8403b4de6768cf869d48cbf4ae3c3c5578ca81741aa0beb	74fff43b767c4855ec1a712ea5e217534f86cd7cc21000ebb061ae17e6c326e7	92a835e13e1de3aa5c54a8b751842545c1ff52bc7e288e68b04e44b47e00bde9	"{""en_check_file_hash"":true,""en_check_marker"":true,""en_check_path"":true,""en_check_statement_hash"":true,""en_formal_hash"":true,""en_formal_path"":true,""en_statement_label"":true,""english_hash"":true,""english_registry"":true,""formal_hash"":true,""localized_link_node"":true,""portuguese_hash"":true,""portuguese_registry"":true,""pt_BR_check_file_hash"":true,""pt_BR_check_marker"":true,""pt_BR_check_path"":true,""pt_BR_check_statement_hash"":true,""pt_BR_formal_hash"":true,""pt_BR_formal_path"":true,""pt_BR_statement_label"":true,""statement_check_exists"":true,""statement_check_fields"":true,""statement_check_formal_hash"":true,""statement_check_id"":true,""statement_check_payload_fields"":true,""statement_check_result"":true,""statement_check_schema"":true,""statement_check_type"":true}"	PASS
