"speaker_split"	"speaker_id"	"tracker_id"	"start_offset_ms"	"end_offset_ms"	"pair_support_status"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-20	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-20	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-20	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-20	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-20	20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-10	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-10	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-10	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	-10	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	0	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	0	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	0	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	0	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	0	20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	10	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	10	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	10	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	10	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	10	20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	20	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	20	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	20	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	20	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T4500_W025"	20	20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-20	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-20	-10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-20	0	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-20	10	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-20	20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-10	-20	"PASS_AT_LEAST_4_EACH"
"CONFIRMATION_ODD"	"p225"	"T5000_W025"	-10	-10	"PASS_AT_LEAST_4_EACH"
